Date,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinated_per_hundred,daily_boosters_per_hundred,effectiveness,people_protection_per_hundred,daily_protection_per_hundred
17/1/2021,0,0,0,0,0,,
18/1/2021,0.02,0,0.02,0,0,,
19/1/2021,0.03,0,0.01,0,0.775,0.02325,0.0155
20/1/2021,0.05,0,0.02,0,0.775,0.03875,0
21/1/2021,0.05,0,0,0,0.775,0.03875,0.00775
22/1/2021,0.06,0,0.01,0,0.775,0.0465,0
23/1/2021,0.06,0,0,0,0.775,0.0465,0
24/1/2021,0.06,0,0,0,0.775,0.0465,0
25/1/2021,0.06,0,0,0,0.775,0.0465,0.00775
26/1/2021,0.07,0,0.01,0,0.775,0.05425,0.00775
27/1/2021,0.08,0,0.01,0,0.775,0.062,0.02325
28/1/2021,0.11,0,0.03,0,0.775,0.08525,0.08525
29/1/2021,0.22,0,0.11,0,0.775,0.1705,0.0155
30/1/2021,0.24,0,0.02,0,0.775,0.186,0.00775
31/1/2021,0.25,0,0.01,0,0.775,0.19375,0.031
1/2/2021,0.29,0,0.04,0,0.775,0.22475,0.13175
2/2/2021,0.46,0,0.17,0,0.775,0.3565,0.13175
3/2/2021,0.63,0,0.17,0,0.775,0.48825,0.155
4/2/2021,0.83,0,0.2,0,0.775,0.64325,0.155
5/2/2021,1.03,0,0.2,0,0.775,0.79825,0.05425
6/2/2021,1.1,0,0.07,0,0.775,0.8525,0.03875
7/2/2021,1.15,0,0.05,0,0.775,0.89125,0.06975
8/2/2021,1.24,0,0.09,0,0.775,0.961,0.14725
9/2/2021,1.43,0,0.19,0,0.775,1.10825,0.16275
10/2/2021,1.64,0,0.21,0,0.775,1.271,0.1705
11/2/2021,1.86,0,0.22,0,0.775,1.4415,0.16275
12/2/2021,2.07,0,0.21,0,0.775,1.60425,0.0465
13/2/2021,2.13,0,0.06,0,0.775,1.65075,0.00775
14/2/2021,2.14,0,0.01,0,0.775,1.6585,0.031
15/2/2021,2.18,0,0.04,0,0.775,1.6895,0.06975
16/2/2021,2.27,0,0.09,0,0.775,1.75925,0.08525
17/2/2021,2.38,0,0.11,0,0.775,1.8445,0.068857479
18/2/2021,2.47,0,0.09,0,0.774638655,1.913357479,0.077050294
19/2/2021,2.57,0,0.1,0,0.774477733,1.990407773,0.014675495
20/2/2021,2.59,0,0.02,0,0.774163424,2.005083268,1.67315E-05
21/2/2021,2.59,0,0,0,0.774169884,2.0051,0.015050077
22/2/2021,2.61,0,0.02,0,0.774003861,2.020150077,0.038720497
23/2/2021,2.66,0,0.05,0,0.774011494,2.058870575,0.031010628
24/2/2021,2.7,0,0.04,0,0.774030075,2.089881203,0.038741019
25/2/2021,2.75,0,0.05,0,0.774044444,2.128622222,0.038313051
26/2/2021,2.8,0,0.05,0,0.773905455,2.166935273,0.02283787
27/2/2021,2.83,0,0.03,0,0.773771429,2.189773143,-0.001253143
28/2/2021,2.83,0,0,0,0.773328622,2.18852,0.002986572
1/3/2021,2.84,0,0.01,0,0.771657244,2.191506572,0.022314413
2/3/2021,2.87,0,0.03,0,0.771366197,2.213820986,0.022816645
3/3/2021,2.9,0,0.03,0,0.771254355,2.236637631,0.021513369
4/3/2021,2.93,0,0.03,0,0.7707,2.258151,0.023548966
5/3/2021,2.97,0,0.04,0,0.768249147,2.281699966,0.00827761
6/3/2021,2.99,0,0.02,0,0.765878788,2.289977576,-0.00078694
7/3/2021,3,0,0.01,0,0.763063545,2.289190635,0.006724098
8/3/2021,3.02,0,0.02,0,0.760236667,2.295914733,0.027658777
9/3/2021,3.06,0,0.04,0,0.759337748,2.32357351,0.036418484
10/3/2021,3.11,0,0.05,0,0.758839869,2.359991993,0.042409325
11/3/2021,3.17,0,0.06,0,0.757855305,2.402401318,0.045750858
12/3/2021,3.24,0,0.07,0,0.755602524,2.448152177,0.037521897
13/3/2021,3.3,0,0.06,0,0.753234568,2.485674074,0.029384108
