Date,Infected_average
1/10/2021,25544.42857
2/10/2021,25261
3/10/2021,25005.71429
4/10/2021,24833.28571
5/10/2021,24666.28571
6/10/2021,24547.71429
7/10/2021,24508.71429
8/10/2021,24554.28571
9/10/2021,24672.71429
10/10/2021,24829.42857
11/10/2021,24996
12/10/2021,25145.57143
13/10/2021,25284.71429
14/10/2021,25357.57143
15/10/2021,25429.14286
16/10/2021,25589
17/10/2021,25824
18/10/2021,26115.14286
19/10/2021,26507.71429
20/10/2021,27080.57143
21/10/2021,27824.14286
22/10/2021,28766.28571
23/10/2021,29848
24/10/2021,31109.42857
25/10/2021,32564.85714
26/10/2021,34145.14286
27/10/2021,35808.42857
28/10/2021,37538
29/10/2021,39355.42857
30/10/2021,41446
31/10/2021,43788.85714
1/11/2021,46351.14286
2/11/2021,49099.71429
3/11/2021,51949.85714
4/11/2021,54919
5/11/2021,58339.28571
6/11/2021,62153.28571
7/11/2021,66310.28571
8/11/2021,70624.57143
9/11/2021,75285.28571
10/11/2021,80196.28571
11/11/2021,85805.71429
12/11/2021,91924
13/11/2021,97807
14/11/2021,103786.4286
15/11/2021,109940.1429
16/11/2021,116261.5714
17/11/2021,122780.7143
18/11/2021,129643
19/11/2021,136096.4286
20/11/2021,142613
21/11/2021,148799.1429
22/11/2021,155010.1429
23/11/2021,160822.5714
24/11/2021,166423.7143
25/11/2021,170974.8571
26/11/2021,174837.4286
27/11/2021,178192
28/11/2021,180837
29/11/2021,182367.8571
30/11/2021,182924
1/12/2021,182466.8571
2/12/2021,180859.7143
3/12/2021,178183.5714
4/12/2021,174197.2857
5/12/2021,169182.2857
6/12/2021,163172.1429
7/12/2021,156568.7143
8/12/2021,149295.5714
9/12/2021,141602.8571
10/12/2021,133353.8571
11/12/2021,124907.5714
12/12/2021,116544.1429
13/12/2021,108527.1429
14/12/2021,100887.2857
15/12/2021,93588.42857
16/12/2021,86520.14286
17/12/2021,80066
18/12/2021,74249.28571
19/12/2021,68905.57143
20/12/2021,63994.71429
21/12/2021,59418.28571
22/12/2021,55229.42857
23/12/2021,51551.85714
24/12/2021,48401.85714
25/12/2021,45780.42857
26/12/2021,43332
27/12/2021,41126
28/12/2021,39042.57143
29/12/2021,37263.42857
30/12/2021,35836.85714
31/12/2021,34753.71429
