Date,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinated_per_hundred,daily_boosters_per_hundred
17/1/2021,0,0,0,0
18/1/2021,0.02,0,0.02,0
19/1/2021,0.03,0,0.01,0
20/1/2021,0.05,0,0.02,0
21/1/2021,0.05,0,0,0
22/1/2021,0.06,0,0.01,0
23/1/2021,0.06,0,0,0
24/1/2021,0.06,0,0,0
25/1/2021,0.06,0,0,0
26/1/2021,0.07,0,0.01,0
27/1/2021,0.08,0,0.01,0
28/1/2021,0.11,0,0.03,0
29/1/2021,0.22,0,0.11,0
30/1/2021,0.24,0,0.02,0
31/1/2021,0.25,0,0.01,0
1/2/2021,0.29,0,0.04,0
2/2/2021,0.46,0,0.17,0
3/2/2021,0.63,0,0.17,0
4/2/2021,0.83,0,0.2,0
5/2/2021,1.03,0,0.2,0
6/2/2021,1.1,0,0.07,0
7/2/2021,1.15,0,0.05,0
8/2/2021,1.24,0,0.09,0
9/2/2021,1.43,0,0.19,0
10/2/2021,1.64,0,0.21,0
11/2/2021,1.86,0,0.22,0
12/2/2021,2.07,0,0.21,0
13/2/2021,2.13,0,0.06,0
14/2/2021,2.14,0,0.01,0
15/2/2021,2.18,0,0.04,0
16/2/2021,2.27,0,0.09,0
17/2/2021,2.38,0,0.11,0
18/2/2021,2.47,0,0.09,0
19/2/2021,2.57,0,0.1,0
20/2/2021,2.59,0,0.02,0
21/2/2021,2.59,0,0,0
22/2/2021,2.61,0,0.02,0
23/2/2021,2.66,0,0.05,0
24/2/2021,2.7,0,0.04,0
25/2/2021,2.75,0,0.05,0
26/2/2021,2.8,0,0.05,0
27/2/2021,2.83,0,0.03,0
28/2/2021,2.83,0,0,0
1/3/2021,2.84,0,0.01,0
2/3/2021,2.87,0,0.03,0
3/3/2021,2.9,0,0.03,0
4/3/2021,2.93,0,0.03,0
5/3/2021,2.97,0,0.04,0
6/3/2021,2.99,0,0.02,0
7/3/2021,3,0,0.01,0
8/3/2021,3.02,0,0.02,0
9/3/2021,3.06,0,0.04,0
10/3/2021,3.11,0,0.05,0
11/3/2021,3.17,0,0.06,0
12/3/2021,3.24,0,0.07,0
13/3/2021,3.3,0,0.06,0
14/3/2021,3.35,0,0.05,0
15/3/2021,3.38,0,0.03,0
16/3/2021,3.45,0,0.07,0
17/3/2021,3.54,0,0.09,0
18/3/2021,3.64,0,0.1,0
19/3/2021,3.74,0,0.1,0
20/3/2021,3.85,0,0.11,0
21/3/2021,3.89,0,0.04,0
22/3/2021,3.92,0,0.03,0
23/3/2021,4.11,0,0.19,0
24/3/2021,4.32,0,0.21,0
25/3/2021,4.51,0,0.19,0
26/3/2021,4.72,0,0.21,0
27/3/2021,4.89,0,0.17,0
28/3/2021,4.94,0,0.05,0
29/3/2021,5.01,0,0.07,0
30/3/2021,5.14,0,0.13,0
31/3/2021,5.29,0,0.15,0
1/4/2021,5.51,0,0.22,0
2/4/2021,5.73,0,0.22,0
3/4/2021,5.84,0,0.11,0
4/4/2021,5.86,0,0.02,0
5/4/2021,5.91,0,0.05,0
6/4/2021,6.05,0,0.14,0
7/4/2021,6.23,0,0.18,0
8/4/2021,6.53,0,0.3,0
9/4/2021,6.91,0,0.38,0
10/4/2021,7.24,0,0.33,0
11/4/2021,7.41,0,0.17,0
12/4/2021,7.5,0,0.09,0
13/4/2021,7.63,0,0.13,0
14/4/2021,7.79,0,0.16,0
15/4/2021,8.01,0,0.22,0
16/4/2021,8.22,0,0.21,0
17/4/2021,8.47,0,0.25,0
18/4/2021,8.52,0,0.05,0
19/4/2021,8.59,0,0.07,0
20/4/2021,8.73,0,0.14,0
21/4/2021,8.86,0,0.13,0
22/4/2021,8.98,0,0.12,0
23/4/2021,9.11,0,0.13,0
24/4/2021,9.18,0,0.07,0
25/4/2021,9.2,0,0.02,0
26/4/2021,9.24,0,0.04,0
27/4/2021,9.37,0,0.13,0
28/4/2021,9.54,0,0.17,0
29/4/2021,9.71,0,0.17,0
30/4/2021,9.87,0,0.16,0
1/5/2021,9.96,0,0.09,0
2/5/2021,9.98,0,0.02,0
3/5/2021,10.12,0,0.14,0
4/5/2021,10.37,0,0.25,0
5/5/2021,10.58,0,0.21,0
6/5/2021,10.82,0,0.24,0
7/5/2021,11.09,0,0.27,0
8/5/2021,11.31,0,0.22,0
9/5/2021,11.38,0,0.07,0
10/5/2021,11.51,0,0.13,0
11/5/2021,11.72,0,0.21,0
12/5/2021,11.99,0,0.27,0
13/5/2021,12.09,0,0.1,0
14/5/2021,12.37,0,0.28,0
15/5/2021,12.57,0,0.2,0
16/5/2021,12.65,0,0.08,0
17/5/2021,12.86,0,0.21,0
18/5/2021,13.18,0,0.32,0
19/5/2021,13.57,0,0.39,0
20/5/2021,13.99,0,0.42,0
21/5/2021,14.46,0,0.47,0
22/5/2021,14.69,0,0.23,0
23/5/2021,14.83,0,0.14,0
24/5/2021,14.98,0,0.15,0
25/5/2021,15.19,0,0.21,0
