Date,daily_vaccinated_per_hundred,NPIs (unvaccinated),NPIs (vaccinated),Stringency_index,Total_cases,Total_deaths,Total_recovered,Infected,Daily_cases,Daily_deaths,Daily_recovered,Daily_cases_average,Daily_deaths_average,Daily_recovered_average,Total_population,Infected_average,people_fully_vaccinated_per_hundred,effectiveness_vaccine
1/10/2021,0.12,0,0,46.52,739627,13514,701234,24879,1925,8,2310,275,1.142857143,330,8922082,3554.142857,61.88,0.50207772
2/10/2021,0.06,0,0,46.51,741366,13523,703437,24406,1739,9,2203,523.4285714,2.428571429,644.7142857,8922082,7040.714286,61.94,0.499083872
3/10/2021,0.02,0,0,46.51,743174,13532,705456,24186,1808,9,2019,781.7142857,3.714285714,781.7142857,8922082,10495.85714,61.96,0.495598321
4/10/2021,0.05,0,0,46.5,744732,13547,706870,24315,1558,15,1414,1004.285714,5.857142857,1004.285714,8922082,13969.42857,62.01,0.492322143
5/10/2021,0.1,0,0,46.48,746104,13558,708198,24348,1372,11,1328,1200.285714,7.428571429,1324.857143,8922082,17447.71429,62.11,0.488963554
6/10/2021,0.1,0,0,46.46,747562,13566,709568,24428,1458,8,1370,1408.571429,8.571428571,1520.571429,8922082,20937.42857,62.21,0.485656255
7/10/2021,0.08,0,0,46.45,750242,13582,711661,24999,2680,16,2093,1791.428571,10.85714286,1819.571429,8922082,24508.71429,62.29,0.482705192
8/10/2021,0.15,0,0,46.42,752280,13590,713492,25198,2038,8,1831,1807.571429,10.85714286,1751.142857,8922082,24554.28571,62.44,0.478555306
9/10/2021,0.05,0,0,46.41,754134,13601,715298,25235,1854,11,1806,1824,11.14285714,1694.428571,8922082,24672.71429,62.49,0.475351377
10/10/2021,0.01,0,0,46.41,756011,13609,717119,25283,1877,8,1821,1833.857143,11,1666.142857,8922082,24829.42857,62.5,0.470830373
11/10/2021,0.06,0,0,46.4,757595,13621,718493,25481,1584,12,1374,1837.571429,10.57142857,1660.428571,8922082,24996,62.56,0.46708528
12/10/2021,0.09,0,0,46.38,758894,13631,719868,25395,1299,10,1375,1827.142857,10.42857143,1667.142857,8922082,25145.57143,62.65,0.464647698
13/10/2021,0.09,0,0,46.37,760490,13643,721445,25402,1596,12,1577,1846.857143,11,1696.714286,8922082,25284.71429,62.74,0.461839745
14/10/2021,0.1,0,0,46.35,763211,13662,724040,25509,2721,19,2595,1852.714286,11.42857143,1768.428571,8922082,25357.57143,62.84,0.45981511
15/10/2021,0.13,0,0,46.33,765326,13673,725954,25699,2115,11,1914,1863.714286,11.85714286,1780.285714,8922082,25429.14286,62.97,0.455480586
16/10/2021,0.06,0,0,46.32,767720,13684,727682,26354,2394,11,1728,1940.857143,11.85714286,1769.142857,8922082,25589,63.03,0.451954423
17/10/2021,0.01,0,0,46.31,770102,13696,729478,26928,2382,12,1796,2013,12.42857143,1765.571429,8922082,25824,63.04,0.447414882
18/10/2021,0.05,1,0,54.64,772251,13717,731015,27519,2149,21,1537,2093.714286,13.71428571,1788.857143,8922082,26115.14286,63.09,0.44408677
19/10/2021,0.09,0,0,54.63,774247,13737,732367,28143,1996,20,1352,2193.285714,15.14285714,1785.571429,8922082,26507.71429,63.18,0.442509748
20/10/2021,0.1,0,0,54.61,776974,13748,733814,29412,2727,11,1447,2354.857143,15,1767,8922082,27080.57143,63.28,0.440329376
21/10/2021,0.1,0,0,54.59,780956,13761,736481,30714,3982,13,2667,2535,14.14285714,1777.285714,8922082,27824.14286,63.38,0.437605405
22/10/2021,0.12,0,0,54.57,784574,13775,738505,32294,3618,14,2024,2749.714286,14.57142857,1793,8922082,28766.28571,63.5,0.433718997
23/10/2021,0.06,1,0,54.56,788060,13791,740343,33926,3486,16,1838,2905.714286,15.28571429,1808.714286,8922082,29848,63.56,0.430462677
24/10/2021,0.02,0,0,54.56,791769,13809,742202,35758,3709,18,1859,3095.285714,16.14285714,1817.714286,8922082,31109.42857,63.58,0.425384833
25/10/2021,0.06,0,0,54.55,795302,13826,743769,37707,3533,17,1567,3293,15.57142857,1822,8922082,32564.85714,63.64,0.421390217
26/10/2021,0.03,0,0,54.54,798099,13849,745045,39205,2797,23,1276,3407.428571,16,1811.142857,8922082,34145.14286,63.67,0.41929714
27/10/2021,0.11,0,0,54.52,801545,13861,746629,41055,3446,12,1584,3510.142857,16.14285714,1830.714286,8922082,35808.42857,63.78,0.415231663
28/10/2021,0.09,0,0,54.51,806032,13886,749325,42821,4487,25,2696,3582.285714,17.85714286,1834.857143,8922082,37538,63.87,0.412504547
29/10/2021,0.12,0,0,54.48,810342,13915,751411,45016,4310,29,2086,3681.142857,20,1843.714286,8922082,39355.42857,63.99,0.408172851
30/10/2021,0.05,0,0,54.48,816280,13932,753788,48560,5938,17,2377,4031.428571,20.14285714,1920.714286,8922082,41446,64.04,0.404346148
31/10/2021,0.02,0,0,54.47,822260,13946,756156,52158,5980,14,2368,4355.857143,19.57142857,1993.428571,8922082,43788.85714,64.06,0.398970956
