Date,daily_vaccinated_per_hundred,NPIs (unvaccinated),NPIs (vaccinated),Stringency_index,New_total_cases,New_total_deaths,Total_recovered,Infected,Daily_cases,Daily_deaths,Daily_recovered,Daily_cases_average,Daily_deaths_average,Daily_recovered_average,Total_population,Infected_average,people_fully_vaccinated_per_hundred,effectiveness_vaccine,people_protection_per_hundred,daily_protection_per_hundred
1/10/2021,0.12,0,0,46.52,88287.14286,421.7142857,62321,,1925,8,,1792.142857,11,2071.571429,8922082,25544.42857,61.88,0.50207772,31.06856933,-0.155314294
2/10/2021,0.06,0,0,46.51,90068.14286,432.5714286,64374.57143,,1739,9,,1781,10.85714286,2053.571429,8922082,25261,61.94,0.499083872,30.91325503,-0.205983066
3/10/2021,0.02,0,0,46.51,91846.14286,443.4285714,66397,,1808,9,,1778,10.85714286,2022.428571,8922082,25005.71429,61.96,0.495598321,30.70727197,-0.178375859
4/10/2021,0.05,0,0,46.5,93648.71429,454.4285714,68361,,1558,15,,1802.571429,11,1964,8922082,24833.28571,62.01,0.492322143,30.52889611,-0.159369752
5/10/2021,0.1,0,0,46.48,95449.42857,465.4285714,70317.71429,,1372,11,,1800.714286,11,1956.714286,8922082,24666.28571,62.11,0.488963554,30.36952636,-0.15685073
6/10/2021,0.1,0,0,46.46,97231.42857,476.4285714,72207.28571,,1458,8,,1782,11,1889.571429,8922082,24547.71429,62.21,0.485656255,30.21267563,-0.14496921
7/10/2021,0.08,0,0,46.45,99022.85714,487.2857143,74026.85714,,2680,16,,1791.428571,10.85714286,1819.571429,8922082,24508.71429,62.29,0.482705192,30.06770642,-0.186713119
8/10/2021,0.15,0,0,46.42,100830.4286,498.1428571,75778,,2038,8,,1807.571429,10.85714286,1751.142857,8922082,24554.28571,62.44,0.478555306,29.8809933,-0.176285727
9/10/2021,0.05,0,0,46.41,102654.4286,509.2857143,77472.42857,,1854,11,,1824,11.14285714,1694.428571,8922082,24672.71429,62.49,0.475351377,29.70470757,-0.277809265
10/10/2021,0.01,0,0,46.41,104488.2857,520.2857143,79138.57143,,1877,8,,1833.857143,11,1666.142857,8922082,24829.42857,62.5,0.470830373,29.4268983,-0.206043187
11/10/2021,0.06,0,0,46.4,106325.8571,530.8571429,80799,,1584,12,,1837.571429,10.57142857,1660.428571,8922082,24996,62.56,0.46708528,29.22085512,-0.110676824
12/10/2021,0.09,0,0,46.38,108153,541.2857143,82466.14286,,1299,10,,1827.142857,10.42857143,1667.142857,8922082,25145.57143,62.65,0.464647698,29.11017829,-0.134352716
13/10/2021,0.09,0,0,46.37,109999.8571,552.2857143,84162.85714,,1596,12,,1846.857143,11,1696.714286,8922082,25284.71429,62.74,0.461839745,28.97582558,-0.081044066
14/10/2021,0.1,0,0,46.35,111852.5714,563.7142857,85931.28571,,2721,19,,1852.714286,11.42857143,1768.428571,8922082,25357.57143,62.84,0.45981511,28.89478151,-0.213169035
15/10/2021,0.13,0,0,46.33,113716.2857,575.5714286,87711.57143,,2115,11,,1863.714286,11.85714286,1780.285714,8922082,25429.14286,62.97,0.455480586,28.68161248,-0.194925211
16/10/2021,0.06,0,0,46.32,115657.1429,587.4285714,89480.71429,,2394,11,,1940.857143,11.85714286,1769.142857,8922082,25589,63.03,0.451954423,28.48668727,-0.281653117
17/10/2021,0.01,0,0,46.31,117670.1429,599.8571429,91246.28571,,2382,12,,2013,12.42857143,1765.571429,8922082,25824,63.04,0.447414882,28.20503415,-0.18759981
18/10/2021,0.05,1,0,54.64,119763.8571,613.5714286,93035.14286,,2149,21,,2093.714286,13.71428571,1788.857143,8922082,26115.14286,63.09,0.44408677,28.01743434,-0.059668461
19/10/2021,0.09,0,0,54.63,121957.1429,628.7142857,94820.71429,,1996,20,,2193.285714,15.14285714,1785.571429,8922082,26507.71429,63.18,0.442509748,27.95776588,-0.09372294
20/10/2021,0.1,0,0,54.61,124312,643.7142857,96587.71429,,2727,11,,2354.857143,15,1767,8922082,27080.57143,63.28,0.440329376,27.86404294,-0.128612397
21/10/2021,0.1,0,0,54.59,126847,657.8571429,98365,,3982,13,,2535,14.14285714,1777.285714,8922082,27824.14286,63.38,0.437605405,27.73543054,-0.194274261
22/10/2021,0.12,0,0,54.57,129596.7143,672.4285714,100158,,3618,14,,2749.714286,14.57142857,1793,8922082,28766.28571,63.5,0.433718997,27.54115628,-0.180948519
23/10/2021,0.06,1,0,54.56,132502.4286,687.7142857,101966.7143,,3486,16,,2905.714286,15.28571429,1808.714286,8922082,29848,63.56,0.430462677,27.36020776,-0.314240064
24/10/2021,0.02,0,0,54.56,135597.7143,703.8571429,103784.4286,,3709,18,,3095.285714,16.14285714,1817.714286,8922082,31109.42857,63.58,0.425384833,27.0459677,-0.228694284
25/10/2021,0.06,0,0,54.55,138890.7143,719.4285714,105606.4286,,3533,17,,3293,15.57142857,1822,8922082,32564.85714,63.64,0.421390217,26.81727341,-0.120624499
26/10/2021,0.03,0,0,54.54,142298.1429,735.4285714,107417.5714,,2797,23,,3407.428571,16,1811.142857,8922082,34145.14286,63.67,0.41929714,26.69664891,-0.213173431
27/10/2021,0.11,0,0,54.52,145808.2857,751.5714286,109248.2857,,3446,12,,3510.142857,16.14285714,1830.714286,8922082,35808.42857,63.78,0.415231663,26.48347548,-0.136810074
28/10/2021,0.09,0,0,54.51,149390.5714,769.4285714,111083.1429,,4487,25,,3582.285714,17.85714286,1834.857143,8922082,37538,63.87,0.412504547,26.34666541,-0.227684667
29/10/2021,0.12,0,0,54.48,153071.7143,789.4285714,112926.8571,,4310,29,,3681.142857,20,1843.714286,8922082,39355.42857,63.99,0.408172851,26.11898074,-0.224653435
30/10/2021,0.05,0,0,54.48,157103.1429,809.5714286,114847.5714,,5938,17,,4031.428571,20.14285714,1920.714286,8922082,41446,64.04,0.404346148,25.89432731,-0.336247888
