Date,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinated_per_hundred,daily_boosters_per_hundred,effectiveness
17/1/2021,0.0,0.0,0.0,0.0,0.0
18/1/2021,0.02,0.0,0.02,0.0,0.0
19/1/2021,0.03,0.0,0.01,0.0,0.775
20/1/2021,0.05,0.0,0.02,0.0,0.7750000000000001
21/1/2021,0.05,0.0,0.0,0.0,0.7750000000000001
22/1/2021,0.06,0.0,0.01,0.0,0.7750000000000001
23/1/2021,0.06,0.0,0.0,0.0,0.7750000000000001
24/1/2021,0.06,0.0,0.0,0.0,0.7750000000000001
25/1/2021,0.06,0.0,0.0,0.0,0.7750000000000001
26/1/2021,0.07,0.0,0.01,0.0,0.7750000000000001
27/1/2021,0.08,0.0,0.01,0.0,0.775
28/1/2021,0.11,0.0,0.03,0.0,0.775
29/1/2021,0.22,0.0,0.11,0.0,0.775
30/1/2021,0.24,0.0,0.02,0.0,0.775
31/1/2021,0.25,0.0,0.01,0.0,0.7750000000000001
1/2/2021,0.29,0.0,0.04,0.0,0.7750000000000001
2/2/2021,0.46,0.0,0.17,0.0,0.7750000000000001
3/2/2021,0.63,0.0,0.17,0.0,0.775
4/2/2021,0.83,0.0,0.2,0.0,0.7750000000000001
5/2/2021,1.03,0.0,0.2,0.0,0.7750000000000001
6/2/2021,1.1,0.0,0.07,0.0,0.7750000000000001
7/2/2021,1.15,0.0,0.05,0.0,0.775
8/2/2021,1.24,0.0,0.09,0.0,0.7750000000000001
9/2/2021,1.43,0.0,0.19,0.0,0.775
10/2/2021,1.64,0.0,0.21,0.0,0.7750000000000001
11/2/2021,1.86,0.0,0.22,0.0,0.7750000000000001
12/2/2021,2.07,0.0,0.21,0.0,0.7750000000000001
13/2/2021,2.13,0.0,0.06,0.0,0.7750000000000001
14/2/2021,2.14,0.0,0.01,0.0,0.7750000000000001
15/2/2021,2.18,0.0,0.04,0.0,0.775
16/2/2021,2.27,0.0,0.09,0.0,0.7749999999999999
17/2/2021,2.38,0.0,0.11,0.0,0.775
18/2/2021,2.47,0.0,0.09,0.0,0.774638655462185
19/2/2021,2.57,0.0,0.1,0.0,0.7744777327935222
20/2/2021,2.59,0.0,0.02,0.0,0.7741634241245138
21/2/2021,2.59,0.0,0.0,0.0,0.7741698841698843
22/2/2021,2.61,0.0,0.02,0.0,0.774003861003861
23/2/2021,2.66,0.0,0.05,0.0,0.7740114942528735
24/2/2021,2.7,0.0,0.04,0.0,0.7740300751879697
25/2/2021,2.75,0.0,0.05,0.0,0.7740444444444443
26/2/2021,2.8,0.0,0.05,0.0,0.7739054545454543
27/2/2021,2.83,0.0,0.03,0.0,0.7737714285714284
28/2/2021,2.83,0.0,0.0,0.0,0.773328621908127
1/3/2021,2.84,0.0,0.01,0.0,0.7716572438162543
2/3/2021,2.87,0.0,0.03,0.0,0.7713661971830986
3/3/2021,2.9,0.0,0.03,0.0,0.7712543554006968
4/3/2021,2.93,0.0,0.03,0.0,0.7707
5/3/2021,2.97,0.0,0.04,0.0,0.7682491467576792
6/3/2021,2.99,0.0,0.02,0.0,0.7658787878787878
7/3/2021,3.0,0.0,0.01,0.0,0.7630635451505016
8/3/2021,3.02,0.0,0.02,0.0,0.7602366666666667
9/3/2021,3.06,0.0,0.04,0.0,0.7593377483443707
10/3/2021,3.11,0.0,0.05,0.0,0.7588398692810457
11/3/2021,3.17,0.0,0.06,0.0,0.7578553054662379
12/3/2021,3.24,0.0,0.07,0.0,0.7556025236593058
13/3/2021,3.3,0.0,0.06,0.0,0.7532345679012346
14/3/2021,3.35,0.0,0.05,0.0,0.7507636363636363
15/3/2021,3.38,0.0,0.03,0.0,0.7484298507462687
16/3/2021,3.45,0.0,0.07,0.0,0.7479023668639053
17/3/2021,3.54,0.0,0.09,0.0,0.748327536231884
18/3/2021,3.64,0.0,0.1,0.0,0.7485197740112994
19/3/2021,3.74,0.0,0.1,0.0,0.748184065934066
20/3/2021,3.85,0.0,0.11,0.0,0.7474438502673797
21/3/2021,3.89,0.0,0.04,0.0,0.7471324675324674
22/3/2021,3.92,0.0,0.03,0.0,0.7461285347043701
23/3/2021,4.11,0.0,0.19,0.0,0.7461301020408163
24/3/2021,4.32,0.0,0.21,0.0,0.7473771289537713
25/3/2021,4.51,0.0,0.19,0.0,0.7485208333333333
26/3/2021,4.72,0.0,0.21,0.0,0.749159645232816
27/3/2021,4.89,0.0,0.17,0.0,0.7499449152542373
28/3/2021,4.94,0.0,0.05,0.0,0.7503026584867076
29/3/2021,5.01,0.0,0.07,0.0,0.7500445344129554
30/3/2021,5.14,0.0,0.13,0.0,0.7499201596806387
31/3/2021,5.29,0.0,0.15,0.0,0.7497840466926071
1/4/2021,5.51,0.0,0.22,0.0,0.7502816635160681
2/4/2021,5.73,0.0,0.22,0.0,0.7509691470054446
3/4/2021,5.84,0.0,0.11,0.0,0.751415357766143
4/4/2021,5.86,0.0,0.02,0.0,0.7505907534246575
5/4/2021,5.91,0.0,0.05,0.0,0.7493361774744026
6/4/2021,6.05,0.0,0.14,0.0,0.7481895093062606
7/4/2021,6.23,0.0,0.18,0.0,0.7475487603305786
8/4/2021,6.53,0.0,0.3,0.0,0.7477993579454254
9/4/2021,6.91,0.0,0.38,0.0,0.748509954058193
10/4/2021,7.24,0.0,0.33,0.0,0.7491866859623735
11/4/2021,7.41,0.0,0.17,0.0,0.7490621546961326
12/4/2021,7.5,0.0,0.09,0.0,0.7482307692307694
13/4/2021,7.63,0.0,0.13,0.0,0.747152
14/4/2021,7.79,0.0,0.16,0.0,0.746353866317169
15/4/2021,8.01,0.0,0.22,0.0,0.7464993581514762
16/4/2021,8.22,0.0,0.21,0.0,0.7468614232209737
17/4/2021,8.47,0.0,0.25,0.0,0.7469343065693429
18/4/2021,8.52,0.0,0.05,0.0,0.7468724911452183
19/4/2021,8.59,0.0,0.07,0.0,0.7456478873239436
20/4/2021,8.73,0.0,0.14,0.0,0.7447508731082653
21/4/2021,8.86,0.0,0.13,0.0,0.7442164948453607
22/4/2021,8.98,0.0,0.12,0.0,0.7444413092550789
23/4/2021,9.11,0.0,0.13,0.0,0.7437405345211581
24/4/2021,9.18,0.0,0.07,0.0,0.7431163556531283
25/4/2021,9.2,0.0,0.02,0.0,0.7422734204793027
26/4/2021,9.24,0.0,0.04,0.0,0.7412065217391303
27/4/2021,9.37,0.0,0.13,0.0,0.7401731601731599
28/4/2021,9.54,0.0,0.17,0.0,0.7400437566702239
29/4/2021,9.71,0.0,0.17,0.0,0.7396750524109014
30/4/2021,9.87,0.0,0.16,0.0,0.7376900102986609
1/5/2021,9.96,0.0,0.09,0.0,0.7372421479229988
