Date,Infected_average
13/9/2021,25055
14/9/2021,25362
15/9/2021,25930
16/9/2021,26678
17/9/2021,27439
18/9/2021,27959
19/9/2021,28055
20/9/2021,27908
21/9/2021,27856
22/9/2021,27433
23/9/2021,27242
24/9/2021,26912
25/9/2021,26390
26/9/2021,25973
27/9/2021,25522
28/9/2021,25517
29/9/2021,25258
30/9/2021,25272
1/10/2021,24879
2/10/2021,24406
3/10/2021,24186
4/10/2021,24315
5/10/2021,24348
6/10/2021,24428
7/10/2021,24999
8/10/2021,25198
9/10/2021,25235
10/10/2021,25283
11/10/2021,25481
12/10/2021,25395
13/10/2021,25402
14/10/2021,25509
15/10/2021,25699
16/10/2021,26354
17/10/2021,26928
18/10/2021,27519
19/10/2021,28143
20/10/2021,29412
21/10/2021,30714
22/10/2021,32294
23/10/2021,33926
24/10/2021,35758
25/10/2021,37707
26/10/2021,39205
27/10/2021,41055
28/10/2021,42821
29/10/2021,45016
30/10/2021,48560
31/10/2021,52158
1/11/2021,55643
2/11/2021,58445
3/11/2021,61006
4/11/2021,63605
5/11/2021,68958
6/11/2021,75258
7/11/2021,81257
8/11/2021,85843
9/11/2021,91070
10/11/2021,95383
11/11/2021,102871
12/11/2021,111786
13/11/2021,116439
14/11/2021,123113
15/11/2021,128919
16/11/2021,135320
17/11/2021,141017
18/11/2021,150907
19/11/2021,156960
20/11/2021,162055
21/11/2021,166416
22/11/2021,172396
23/11/2021,176007
24/11/2021,180225
25/11/2021,182765
26/11/2021,183998
27/11/2021,185537
28/11/2021,184931
29/11/2021,183112
13/12/2021,179900
1/12/2021,177025
2/12/2021,171515
3/12/2021,165265
4/12/2021,157633
5/12/2021,149826
6/12/2021,141041
7/12/2021,133676
8/12/2021,126113
9/12/2021,117666
10/12/2021,107522
11/12/2021,98509
12/12/2021,91282
13/12/2021,84922
