Date,daily_vaccinated_per_hundred,NPIs (unvaccinated),NPIs (vaccinated),Stringency_index,New_total_cases,New_total_deaths,New_total_recovered,Infected,Daily_cases,Daily_deaths,Daily_recovered,Daily_cases_average,Daily_deaths_average,Daily_recovered_average,Total_population,Infected_average,people_fully_vaccinated_per_hundred,effectiveness_vaccine,people_protection_per_hundred,daily_protection_per_hundred
13/9/2021,0.05,0,0,46.23,60656,248,35353,25055,1837,7,1339,2011.857143,8.142857143,1325.285714,8922082,25055,60.42,0.566845784,34.24882229,-0.076507791
14/9/2021,0.1,0,0,46.21,62046,251,36433,25362,1390,3,1080,2011.714286,7.285714286,1340.428571,8922082,25362,60.52,0.564644985,34.1723145,-0.173659778
15/9/2021,0.09,1,0,46.74,63894,260,37704,25930,1848,9,1271,2018.428571,8,1357.571429,8922082,25930,60.61,0.560941342,33.99865472,-0.183006197
16/9/2021,0.09,0,0,46.73,66494,275,39541,26678,2600,15,1837,2061.285714,9,1390,8922082,26678,60.7,0.557094704,33.81564852,-0.190493543
17/9/2021,0.11,0,0,46.71,68812,287,41086,27439,2318,12,1545,2082.571429,9.571428571,1404.285714,8922082,27439,60.81,0.552954366,33.62515498,-0.139543127
18/9/2021,0.07,0,0,55.03,71024,298,42767,27959,2212,11,1681,2064.428571,9.714285714,1445.285714,8922082,27959,60.88,0.550026476,33.48561185,-0.165840868
19/9/2021,0.03,0,0,55.03,73052,309,44688,28055,2028,11,1921,2033.285714,9.714285714,1524.857143,8922082,28055,60.91,0.547032852,33.31977099,-0.136723919
20/9/2021,0.05,0,0,55.02,74481,316,46257,27908,1429,7,1569,1975,9.714285714,1557.714286,8922082,27908,60.96,0.544341323,33.18304707,-0.117969861
21/9/2021,0.11,0,0,55,75820,335,47629,27856,1339,19,1372,1967.714286,12,1599.428571,8922082,27856,61.07,0.541429134,33.0650772,-0.130141799
22/9/2021,0.09,0,0,54.98,77198,347,49418,27433,1378,12,1789,1900.571429,12.42857143,1673.428571,8922082,27433,61.16,0.538504503,32.93493541,-0.129020796
23/9/2021,0.09,0,0,54.97,79307,356,51709,27242,2109,9,2291,1830.428571,11.57142857,1738.285714,8922082,27242,61.25,0.535606769,32.80591461,-0.236379679
