Date,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinated_per_hundred,daily_boosters_per_hundred,effectiveness
18/1/2021,0.0,0.0,0.0,0.0,0.0
19/1/2021,0.01,0.0,0.01,0.0,0.0
20/1/2021,0.02,0.0,0.01,0.0,0.775
21/1/2021,0.02,0.0,0.0,0.0,0.775
22/1/2021,0.02,0.0,0.0,0.0,0.775
23/1/2021,0.03,0.0,0.01,0.0,0.775
24/1/2021,0.05,0.0,0.02,0.0,0.7750000000000001
25/1/2021,0.08,0.0,0.03,0.0,0.7750000000000001
26/1/2021,0.13,0.0,0.05,0.0,0.775
27/1/2021,0.17,0.0,0.04,0.0,0.775
28/1/2021,0.23,0.0,0.06,0.0,0.775
29/1/2021,0.31,0.0,0.08,0.0,0.775
30/1/2021,0.37,0.0,0.06,0.0,0.775
31/1/2021,0.41,0.0,0.04,0.0,0.775
1/2/2021,0.45,0.0,0.04,0.0,0.7750000000000001
2/2/2021,0.52,0.0,0.07,0.0,0.7750000000000001
3/2/2021,0.59,0.0,0.07,0.0,0.7750000000000001
4/2/2021,0.66,0.0,0.07,0.0,0.7750000000000002
5/2/2021,0.71,0.0,0.05,0.0,0.775
6/2/2021,0.76,0.0,0.05,0.0,0.7750000000000002
7/2/2021,0.78,0.0,0.02,0.0,0.7750000000000002
8/2/2021,0.81,0.0,0.03,0.0,0.7750000000000001
9/2/2021,0.89,0.0,0.08,0.0,0.7750000000000001
10/2/2021,1.02,0.0,0.13,0.0,0.7750000000000002
11/2/2021,1.16,0.0,0.14,0.0,0.7750000000000001
12/2/2021,1.33,0.0,0.17,0.0,0.7750000000000002
13/2/2021,1.48,0.0,0.15,0.0,0.7750000000000001
14/2/2021,1.55,0.0,0.07,0.0,0.7750000000000001
15/2/2021,1.62,0.0,0.07,0.0,0.775
16/2/2021,1.7,0.0,0.08,0.0,0.775
17/2/2021,1.83,0.0,0.13,0.0,0.7750000000000001
18/2/2021,1.95,0.0,0.12,0.0,0.775
19/2/2021,2.06,0.0,0.11,0.0,0.7747794871794873
20/2/2021,2.18,0.0,0.12,0.0,0.7745825242718447
21/2/2021,2.2,0.0,0.02,0.0,0.7746055045871559
22/2/2021,2.33,0.0,0.13,0.0,0.7746090909090909
23/2/2021,2.46,0.0,0.13,0.0,0.7744463519313305
24/2/2021,2.6,0.0,0.14,0.0,0.7741260162601628
25/2/2021,2.74,0.0,0.14,0.0,0.7736769230769232
26/2/2021,2.88,0.0,0.14,0.0,0.7729598540145985
27/2/2021,3.0,0.0,0.12,0.0,0.7724618055555555
28/2/2021,3.06,0.0,0.06,0.0,0.7717033333333333
1/3/2021,3.13,0.0,0.07,0.0,0.7706437908496732
2/3/2021,3.25,0.0,0.12,0.0,0.7699169329073484
3/3/2021,3.33,0.0,0.08,0.0,0.7695753846153847
4/3/2021,3.4,0.0,0.07,0.0,0.7691891891891893
5/3/2021,3.46,0.0,0.06,0.0,0.7684235294117648
6/3/2021,3.51,0.0,0.05,0.0,0.7676676300578035
7/3/2021,3.54,0.0,0.03,0.0,0.76691452991453
8/3/2021,3.57,0.0,0.03,0.0,0.7663757062146892
9/3/2021,3.62,0.0,0.05,0.0,0.7658459383753502
10/3/2021,3.67,0.0,0.05,0.0,0.7657348066298342
11/3/2021,3.74,0.0,0.07,0.0,0.7655095367847411
12/3/2021,3.82,0.0,0.08,0.0,0.7647673796791443
13/3/2021,3.89,0.0,0.07,0.0,0.7635183246073298
14/3/2021,3.89,0.0,0.0,0.0,0.7621773778920308
15/3/2021,3.9,0.0,0.01,0.0,0.7602982005141388
16/3/2021,4.03,0.0,0.13,0.0,0.7586820512820514
17/3/2021,4.12,0.0,0.09,0.0,0.7584615384615384
18/3/2021,4.22,0.0,0.1,0.0,0.7580922330097087
19/3/2021,4.31,0.0,0.09,0.0,0.7576777251184834
20/3/2021,4.4,0.0,0.09,0.0,0.7567424593967518
21/3/2021,4.4,0.0,0.0,0.0,0.7558613636363635
22/3/2021,4.51,0.0,0.11,0.0,0.7547045454545452
23/3/2021,4.64,0.0,0.13,0.0,0.7540554323725054
24/3/2021,4.8,0.0,0.16,0.0,0.7544568965517241
25/3/2021,4.8,0.0,0.0,0.0,0.7539020833333332
26/3/2021,5.04,0.0,0.24,0.0,0.7525874999999999
27/3/2021,5.25,0.0,0.21,0.0,0.7522460317460316
28/3/2021,5.35,0.0,0.1,0.0,0.7516666666666665
29/3/2021,5.45,0.0,0.1,0.0,0.7507084112149531
30/3/2021,5.63,0.0,0.18,0.0,0.7498110091743116
31/3/2021,5.81,0.0,0.18,0.0,0.7496465364120779
1/4/2021,5.98,0.0,0.17,0.0,0.7495421686746986
2/4/2021,6.15,0.0,0.17,0.0,0.7491622073578593
3/4/2021,6.31,0.0,0.16,0.0,0.7490829268292681
4/4/2021,6.33,0.0,0.02,0.0,0.7488637083993659
5/4/2021,6.35,0.0,0.02,0.0,0.7481406003159556
6/4/2021,6.48,0.0,0.13,0.0,0.7474897637795276
7/4/2021,6.61,0.0,0.13,0.0,0.7475648148148146
8/4/2021,6.75,0.0,0.14,0.0,0.7476369137670194
9/4/2021,6.89,0.0,0.14,0.0,0.7477792592592591
10/4/2021,7.03,0.0,0.14,0.0,0.7478635703918723
11/4/2021,7.09,0.0,0.06,0.0,0.7475661450924608
12/4/2021,7.14,0.0,0.05,0.0,0.7466530324400563
13/4/2021,7.24,0.0,0.1,0.0,0.7457240896358543
14/4/2021,7.32,0.0,0.08,0.0,0.7452831491712706
15/4/2021,7.34,0.0,0.02,0.0,0.7448114754098359
16/4/2021,7.36,0.0,0.02,0.0,0.7437888283378747
17/4/2021,7.37,0.0,0.01,0.0,0.7430054347826087
18/4/2021,7.37,0.0,0.0,0.0,0.7420746268656717
19/4/2021,7.39,0.0,0.02,0.0,0.7409145183175033
20/4/2021,7.41,0.0,0.02,0.0,0.7396562922868742
21/4/2021,7.43,0.0,0.02,0.0,0.7389757085020244
22/4/2021,7.51,0.0,0.08,0.0,0.7378546433378198
23/4/2021,7.6,0.0,0.09,0.0,0.7374101198402132
24/4/2021,7.82,0.0,0.22,0.0,0.7360986842105265
25/4/2021,8.0,0.0,0.18,0.0,0.7361368286445014
26/4/2021,8.15,0.0,0.15,0.0,0.7344200000000001
27/4/2021,8.44,0.0,0.29,0.0,0.7323423312883436
28/4/2021,8.71,0.0,0.27,0.0,0.7318530805687204
29/4/2021,9.04,0.0,0.33,0.0,0.7309678530424799
30/4/2021,9.04,0.0,0.0,0.0,0.729896017699115
1/5/2021,9.04,0.0,0.0,0.0,0.7275730088495576
2/5/2021,9.04,0.0,0.0,0.0,0.7254944690265487
3/5/2021,9.05,0.0,0.01,0.0,0.723575221238938
4/5/2021,9.44,0.0,0.39,0.0,0.7212088397790053
5/5/2021,9.97,0.0,0.53,0.0,0.7217838983050846
6/5/2021,10.53,0.0,0.56,0.0,0.7230892678034101
7/5/2021,11.09,0.0,0.56,0.0,0.724366571699905
8/5/2021,11.65,0.0,0.56,0.0,0.7255148782687105
9/5/2021,11.95,0.0,0.3,0.0,0.7269150214592273
10/5/2021,12.23,0.0,0.28,0.0,0.7270184100418409
11/5/2021,12.79,0.0,0.56,0.0,0.7262477514309075
12/5/2021,13.33,0.0,0.54,0.0,0.7261360437842064
13/5/2021,13.89,0.0,0.56,0.0,0.7258852213053262
14/5/2021,14.46,0.0,0.57,0.0,0.7253650107991358
15/5/2021,15.01,0.0,0.55,0.0,0.7252019363762101
16/5/2021,15.25,0.0,0.24,0.0,0.7258227848101264
17/5/2021,15.55,0.0,0.3,0.0,0.7255062295081965
18/5/2021,16.01,0.0,0.46,0.0,0.7252810289389066
19/5/2021,16.37,0.0,0.36,0.0,0.7250537164272328
20/5/2021,16.69,0.0,0.32,0.0,0.7244111178985949
21/5/2021,16.93,0.0,0.24,0.0,0.7239748352306768
22/5/2021,17.15,0.0,0.22,0.0,0.7231447135262846
23/5/2021,17.25,0.0,0.1,0.0,0.7231276967930028
24/5/2021,17.36,0.0,0.11,0.0,0.7213518840579709
25/5/2021,17.58,0.0,0.22,0.0,0.7194700460829493
26/5/2021,18.01,0.0,0.43,0.0,0.7173094425483504
27/5/2021,18.42,0.0,0.41,0.0,0.7157068295391449
28/5/2021,18.84,0.0,0.42,0.0,0.714159609120521
29/5/2021,19.25,0.0,0.41,0.0,0.7126385350318472
30/5/2021,19.55,0.0,0.3,0.0,0.7111215584415584
31/5/2021,19.71,0.0,0.16,0.0,0.7102332480818414
