Date,daily_vaccinated_per_hundred,NPIs (unvaccinated),NPIs (vaccinated),Stringency_index,Total_cases,Total_deaths,Total_recovered,Infected,Daily_cases,Daily_deaths,Daily_recovered,Daily_cases_average,Daily_deaths_average,Daily_recovered_average,Total_population,Infected_average,people_fully_vaccinated_per_hundred
1/7/2021,0.41,0,0,41.67,423185,12710,404543,5932,729,4,508,104.1428571,0.571428571,72.57142857,10445365,847.4285714,36.68
2/7/2021,0.45,0,0,41.67,424165,12722,404984,6459,980,12,441,244.1428571,1.333333333,135.5714286,10445365,1770.142857,37.13
3/7/2021,0.37,0,0,41.67,425347,12731,405364,7252,1182,9,380,413,2.083333333,189.8571429,10445365,2806.142857,37.5
4/7/2021,0.49,0,0,41.67,425964,12737,405605,7622,617,6,241,501.1428571,2.583333333,224.2857143,10445365,3895,37.99
5/7/2021,0.48,0,0,41.67,426963,12743,405805,8415,999,6,200,643.8571429,5.285714286,252.8571429,10445365,5097.142857,38.47
6/7/2021,0.38,1,1,54.17,429144,12754,406189,10201,2181,11,384,955.4285714,6.857142857,307.7142857,10445365,6554.428571,38.85
7/7/2021,0.46,0,0,54.17,430960,12763,406692,11505,1816,9,503,1214.857143,8.142857143,379.5714286,10445365,8198,39.31
8/7/2021,0.44,0,0,54.17,433021,12773,407136,13112,2061,10,444,1405.142857,9,370.4285714,10445365,9223.714286,39.75
9/7/2021,0.48,0,0,54.17,435018,12785,407510,14723,1997,12,374,1550.428571,9,360.8571429,10445365,10404.28571,40.23
10/7/2021,0.51,0,0,54.17,437345,12787,407883,16675,2327,2,373,1714,8,359.8571429,10445365,11750.42857,40.74
11/7/2021,0.03,0,0,54.17,438809,12792,408113,17904,1464,5,230,1835,7.857142857,358.2857143,10445365,13219.28571,40.77
12/7/2021,0.7,0,0,54.17,440872,12802,408464,19606,2063,10,351,1987,8.428571429,379.8571429,10445365,14818,41.47
13/7/2021,0.54,1,2,57.87,444783,12806,409023,22954,3911,4,559,2234.142857,7.428571429,404.8571429,10445365,16639.85714,42.01
14/7/2021,0.48,0,0,57.87,447718,12813,409643,25262,2935,7,620,2394,7.142857143,421.5714286,10445365,18605.14286,42.49
15/7/2021,0.46,0,0,57.87,450512,12819,410366,27327,2794,6,723,2498.714286,6.571428571,461.4285714,10445365,20635.85714,42.95
16/7/2021,0.46,0,0,57.87,453200,12833,411332,29035,2688,14,966,2597.428571,6.857142857,546,10445365,22680.42857,43.41
17/7/2021,0.5,0,0,57.87,455754,12840,412507,30407,2554,7,1175,2629.857143,7.571428571,660.5714286,10445365,24642.14286,43.91
18/7/2021,0.04,0,0,57.87,457312,12850,413114,31348,1558,10,607,2643.285714,8.285714286,714.4285714,10445365,26562.71429,43.95
19/7/2021,0.52,0,0,57.87,459146,12858,414105,32183,1834,8,991,2610.571429,8,805.8571429,10445365,28359.42857,44.47
20/7/2021,0.43,1,2,66.2,463473,12867,416277,34329,4327,9,2172,2670,8.714285714,1036.285714,10445365,29984.42857,44.9
21/7/2021,0.43,0,0,66.2,466441,12870,418090,35481,2968,3,1813,2674.714286,8.142857143,1206.714286,10445365,31444.28571,45.33
22/7/2021,0.51,0,0,66.2,469042,12875,420146,36021,2601,5,2056,2647.142857,8,1397.142857,10445365,32686.28571,45.84
23/7/2021,0.41,0,0,66.2,471894,12882,422136,36876,2852,7,1990,2670.571429,7,1543.428571,10445365,33806.42857,46.25
24/7/2021,0.48,0,0,66.2,474366,12890,424455,37021,2472,8,2319,2658.857143,7.142857143,1706.857143,10445365,34751.28571,46.73
25/7/2021,0.01,0,0,66.2,475919,12898,425911,37110,1553,8,1456,2658.142857,6.857142857,1828.142857,10445365,35574.42857,46.74
26/7/2021,0.58,0,0,66.2,477975,12903,427969,37103,2056,5,2058,2689.857143,6.428571429,1980.571429,10445365,36277.28571,47.32
27/7/2021,0.49,0,0,66.2,482145,12911,431872,37362,4170,8,3903,2667.428571,6.285714286,2227.857143,10445365,36710.57143,47.81
28/7/2021,0.39,0,0,66.2,485015,12926,434792,37297,2870,15,2920,2653.428571,8,2386,10445365,36970,48.2
29/7/2021,0.39,0,0,66.2,487709,12935,437577,37197,2694,9,2785,2666.714286,8.571428571,2490.142857,10445365,37138,48.59
30/7/2021,0.41,0,0,66.2,490552,12948,440252,37352,2843,13,2675,2665.428571,9.428571429,2588,10445365,37206,49
31/7/2021,0.45,0,0,66.2,493304,12965,442789,37550,2752,17,2537,2705.428571,10.71428571,2619.142857,10445365,37281.57143,49.45
1/8/2021,0.02,0,0,66.2,494907,12975,444337,37595,1603,10,1548,2712.571429,11,2632.285714,10445365,37350.85714,49.47
2/8/2021,0.3,0,0,66.2,497061,12983,446163,37915,2154,8,1826,2726.571429,11.42857143,2599.142857,10445365,37466.85714,49.77
3/8/2021,0.32,1,2,67.12,501030,12997,450476,37557,3969,14,4313,2697.857143,12.28571429,2657.714286,10445365,37494.71429,50.09
4/8/2021,0.29,0,0,67.09,503885,13013,453428,37444,2855,16,2952,2695.714286,12.42857143,2662.285714,10445365,37515.71429,50.38
5/8/2021,0.3,0,0,67.07,506672,13026,456016,37630,2787,13,2588,2709,13,2634.142857,10445365,37577.57143,50.68
6/8/2021,0.3,0,0,67.04,509596,13048,458846,37702,2924,22,2830,2720.571429,14.28571429,2656.285714,10445365,37627.57143,50.98
7/8/2021,0.34,0,0,67.01,512342,13058,461308,37976,2746,10,2462,2719.714286,13.28571429,2645.571429,10445365,37688.42857,51.32
8/8/2021,0.01,0,0,67.01,514192,13075,462844,38273,1850,17,1536,2755,14.28571429,2643.857143,10445365,37785.28571,51.33
9/8/2021,0.29,0,0,66.98,516785,13097,464878,38810,2593,22,2034,2817.714286,16.28571429,2673.571429,10445365,37913.14286,51.62
10/8/2021,0.24,0,0,72.51,521399,13118,469027,39254,4614,21,4149,2909.857143,17.28571429,2650.142857,10445365,38155.57143,51.86
11/8/2021,0.24,0,0,72.49,524871,13138,471877,39856,3472,20,2850,2998,17.85714286,2635.571429,10445365,38500.14286,52.1
12/8/2021,0.23,0,0,72.47,528474,13158,474551,40765,3603,20,2674,3114.571429,18.85714286,2647.857143,10445365,38948,52.33
