Date,daily_vaccinated_per_hundred,NPIs (unvaccinated),NPIs (vaccinated),Stringency_index,New_total_cases,New_total_deaths,New_total_recovered,Infected,Daily_cases,Daily_deaths,Daily_recovered,Daily_cases_average,Daily_deaths_average,Daily_recovered_average,Total_population,Infected_average,people_fully_vaccinated_per_hundred,effectiveness_vaccine,people_protection_per_hundred,daily_protection_per_hundred
18/9/2021,0.19,0,0,71.51,207042,1727,174484,30831,2184,39,2245,2237.142857,41.71428571,2663,10445365,30831,56.86,0.518531851,29.48372105,-0.030802061
19/9/2021,0.01,0,0,71.51,208328,1760,175735,30833,1286,33,1251,2232.428571,42.42857143,2619.857143,10445365,30833,56.87,0.51789905,29.45291899,0.000851398
20/9/2021,0.18,0,0,71.5,210452,1799,177461,31192,2124,39,1726,2306.142857,40.28571429,2539.428571,10445365,31192,57.05,0.516279937,29.45377039,-0.043558441
21/9/2021,0.16,0,0,71.49,214140,1842,180860,31438,3688,43,3399,2320.142857,40,2416.285714,10445365,31438,57.21,0.514074671,29.41021195,-0.037706997
22/9/2021,0.18,0,0,71.49,216465,1869,183031,31565,2325,27,2171,2308.571429,37.71428571,2322.857143,10445365,31565,57.39,0.511805279,29.37250495,-0.076757172
23/9/2021,0.16,0,0,71.48,218566,1900,185163,31503,2101,31,2132,2277,36,2228.428571,10445365,31503,57.55,0.509048615,29.29574778,-0.104903947
24/9/2021,0.2,0,0,71.47,220599,1933,187259,31407,2033,33,2096,2248.714286,35,2145.714286,10445365,31407,57.75,0.505469157,29.19084383,-0.120386086
25/9/2021,0.21,0,0,71.47,222413,1949,189433,31031,1814,16,2174,2195.857143,31.71428571,2135.571429,10445365,31031,57.96,0.501560693,29.07045775,-0.183653342
26/9/2021,0.02,0,0,71.46,223513,1973,190728,30812,1100,24,1295,2169.285714,30.42857143,2141.857143,10445365,30812,57.98,0.498220152,28.8868044,-0.203077418
27/9/2021,0.16,0,0,71.46,225635,2021,192288,31326,2122,48,1560,2169,31.71428571,2118.142857,10445365,31326,58.14,0.493356157,28.68372699,-0.08771737
28/9/2021,0.16,0,0,71.45,228922,2045,195854,31023,3287,24,3566,2111.714286,29,2142,10445365,31023,58.3,0.490497592,28.59600961,-0.027116303
29/9/2021,0.17,0,0,71.45,231079,2089,198216,30774,2157,44,2362,2087.714286,31.42857143,2169.285714,10445365,30774,58.47,0.488607719,28.56889331,-0.105960834
30/9/2021,0.15,0,0,71.44,233311,2122,200505,30684,2232,33,2289,2106.428571,31.71428571,2191.714286,10445365,30684,58.62,0.485549855,28.46293248,-0.079361994
1/10/2021,0.16,0,0,71.44,235912,2154,202704,31054,2601,32,2199,2187.571429,31.57142857,2206.428571,10445365,31054,58.78,0.482878028,28.38357048,-0.060582747
2/10/2021,0.18,0,0,71.43,237710,2183,204859,30668,1798,29,2155,2185.285714,33.42857143,2203.714286,10445365,30668,58.96,0.480376318,28.32298774,-0.155841216
3/10/2021,0.01,0,0,71.43,238852,2214,206114,30524,1142,31,1255,2191.285714,34.42857143,2198,10445365,30524,58.97,0.477652137,28.16714652,-0.218765541
4/10/2021,0.15,0,0,71.42,240977,2250,208202,30525,2125,36,2088,2191.714286,32.71428571,2273.428571,10445365,30525,59.12,0.472739868,27.94838098,0.046455995
5/10/2021,0.14,0,0,71.42,244061,2285,211855,29921,3084,35,3653,2162.714286,34.28571429,2285.857143,10445365,29921,59.26,0.472406969,27.99483698,-0.120832992
