Date,Infected_average
18/9/2021,30831
19/9/2021,30833
20/9/2021,31192
21/9/2021,31438
22/9/2021,31565
23/9/2021,31503
24/9/2021,31407
25/9/2021,31031
26/9/2021,30812
27/9/2021,31326
28/9/2021,31023
29/9/2021,30774
30/9/2021,30684
1/10/2021,31054
2/10/2021,30668
3/10/2021,30524
4/10/2021,30525
5/10/2021,29921
6/10/2021,29890
7/10/2021,30018
8/10/2021,30262
9/10/2021,30610
10/10/2021,30830
11/10/2021,31066
12/10/2021,31016
13/10/2021,31171
14/10/2021,31511
15/10/2021,31528
16/10/2021,32031
17/10/2021,32578
18/10/2021,33600
19/10/2021,34442
20/10/2021,35400
21/10/2021,36547
22/10/2021,37811
23/10/2021,38804
24/10/2021,39559
25/10/2021,41138
26/10/2021,42177
27/10/2021,43504
28/10/2021,43889
29/10/2021,44882
30/10/2021,47251
31/10/2021,48284
1/11/2021,50562
2/11/2021,53492
3/11/2021,56381
4/11/2021,59789
5/11/2021,63137
6/11/2021,66338
7/11/2021,68546
8/11/2021,71944
9/11/2021,76637
10/11/2021,80087
11/11/2021,83901
12/11/2021,87122
13/11/2021,88584
14/11/2021,89704
15/11/2021,91229
16/11/2021,92737
17/11/2021,93249
18/11/2021,93741
19/11/2021,94603
20/11/2021,94191
21/11/2021,94016
22/11/2021,93968
23/11/2021,93347
24/11/2021,93364
25/11/2021,93154
26/11/2021,92924
27/11/2021,92651
28/11/2021,92632
29/11/2021,92359
30/11/2021,91715
1/12/2021,91254
2/12/2021,90234
3/12/2021,88684
4/12/2021,87883
5/12/2021,87301
6/12/2021,84941
7/12/2021,83847
8/12/2021,82640
9/12/2021,81592
10/12/2021,80077
11/12/2021,78969
12/12/2021,78371
13/12/2021,75523
14/12/2021,73756
15/12/2021,72350
16/12/2021,70790
17/12/2021,69350
18/12/2021,68544
