Date,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinated_per_hundred,daily_boosters_per_hundred
18/1/2021,0,0,0,0
19/1/2021,0.01,0,0.01,0
20/1/2021,0.02,0,0.01,0
21/1/2021,0.02,0,0,0
22/1/2021,0.02,0,0,0
23/1/2021,0.03,0,0.01,0
24/1/2021,0.05,0,0.02,0
25/1/2021,0.08,0,0.03,0
26/1/2021,0.13,0,0.05,0
27/1/2021,0.17,0,0.04,0
28/1/2021,0.23,0,0.06,0
29/1/2021,0.31,0,0.08,0
30/1/2021,0.37,0,0.06,0
31/1/2021,0.41,0,0.04,0
1/2/2021,0.45,0,0.04,0
2/2/2021,0.52,0,0.07,0
3/2/2021,0.59,0,0.07,0
4/2/2021,0.66,0,0.07,0
5/2/2021,0.71,0,0.05,0
6/2/2021,0.76,0,0.05,0
7/2/2021,0.78,0,0.02,0
8/2/2021,0.81,0,0.03,0
9/2/2021,0.89,0,0.08,0
10/2/2021,1.02,0,0.13,0
11/2/2021,1.16,0,0.14,0
12/2/2021,1.33,0,0.17,0
13/2/2021,1.48,0,0.15,0
14/2/2021,1.55,0,0.07,0
15/2/2021,1.62,0,0.07,0
16/2/2021,1.7,0,0.08,0
17/2/2021,1.83,0,0.13,0
18/2/2021,1.95,0,0.12,0
19/2/2021,2.06,0,0.11,0
20/2/2021,2.18,0,0.12,0
21/2/2021,2.2,0,0.02,0
22/2/2021,2.33,0,0.13,0
23/2/2021,2.46,0,0.13,0
24/2/2021,2.6,0,0.14,0
25/2/2021,2.74,0,0.14,0
26/2/2021,2.88,0,0.14,0
27/2/2021,3,0,0.12,0
28/2/2021,3.06,0,0.06,0
1/3/2021,3.13,0,0.07,0
2/3/2021,3.25,0,0.12,0
3/3/2021,3.33,0,0.08,0
4/3/2021,3.4,0,0.07,0
5/3/2021,3.46,0,0.06,0
6/3/2021,3.51,0,0.05,0
7/3/2021,3.54,0,0.03,0
8/3/2021,3.57,0,0.03,0
9/3/2021,3.62,0,0.05,0
10/3/2021,3.67,0,0.05,0
11/3/2021,3.74,0,0.07,0
12/3/2021,3.82,0,0.08,0
13/3/2021,3.89,0,0.07,0
14/3/2021,3.89,0,0,0
15/3/2021,3.9,0,0.01,0
16/3/2021,4.03,0,0.13,0
17/3/2021,4.12,0,0.09,0
18/3/2021,4.22,0,0.1,0
19/3/2021,4.31,0,0.09,0
20/3/2021,4.4,0,0.09,0
21/3/2021,4.4,0,0,0
22/3/2021,4.51,0,0.11,0
23/3/2021,4.64,0,0.13,0
24/3/2021,4.8,0,0.16,0
25/3/2021,4.8,0,0,0
26/3/2021,5.04,0,0.24,0
27/3/2021,5.25,0,0.21,0
28/3/2021,5.35,0,0.1,0
29/3/2021,5.45,0,0.1,0
30/3/2021,5.63,0,0.18,0
31/3/2021,5.81,0,0.18,0
1/4/2021,5.98,0,0.17,0
2/4/2021,6.15,0,0.17,0
3/4/2021,6.31,0,0.16,0
4/4/2021,6.33,0,0.02,0
5/4/2021,6.35,0,0.02,0
6/4/2021,6.48,0,0.13,0
7/4/2021,6.61,0,0.13,0
8/4/2021,6.75,0,0.14,0
9/4/2021,6.89,0,0.14,0
10/4/2021,7.03,0,0.14,0
11/4/2021,7.09,0,0.06,0
12/4/2021,7.14,0,0.05,0
13/4/2021,7.24,0,0.1,0
14/4/2021,7.32,0,0.08,0
15/4/2021,7.34,0,0.02,0
16/4/2021,7.36,0,0.02,0
