Date,daily_vaccinated_per_hundred,NPIs (unvaccinated),NPIs (vaccinated),Stringency_index,Total_cases,Total_deaths,Total_recovered,Infected,Daily_cases,Daily_deaths,Daily_recovered,Daily_cases_average,Daily_deaths_average,Daily_recovered_average,Total_population,Infected_average,people_fully_vaccinated_per_hundred
1/11/2020,0,0,0,40.74,315007,2580,301411,11016,0,0,0,0,0,0,9038309,11016,0
2/11/2020,0,0,0,40.74,315795,2596,302340,10859,788,16,929,112.5714286,2.285714286,132.7142857,9038309,10937.5,0
3/11/2020,0,0,0,40.74,316641,2622,303086,10933,846,26,746,233.4285714,6,239.2857143,9038309,10936,0
4/11/2020,0,0,0,65.74,317410,2639,303724,11047,769,17,638,343.2857143,8.428571429,330.4285714,9038309,10963.75,0
5/11/2020,0,0,0,65.74,317980,2652,304585,10743,570,13,861,424.7142857,10.28571429,453.4285714,9038309,10919.6,0
6/11/2020,0,0,0,65.74,318671,2668,305485,10518,691,16,900,523.4285714,12.57142857,582,9038309,10852.66667,0
7/11/2020,0,0,0,65.74,318883,2676,306180,10027,212,8,695,553.7142857,13.71428571,681.2857143,9038309,10734.71429,0
8/11/2020,0,0,0,65.74,319417,2683,306868,9866,534,7,688,630,14.71428571,779.5714286,9038309,10570.42857,0
9/11/2020,0,0,0,65.74,320136,2689,307807,9640,719,6,939,620.1428571,13.28571429,781,9038309,10396.28571,0
10/11/2020,0,0,0,65.74,320811,2699,308145,9967,675,10,338,595.7142857,11,722.7142857,9038309,10258.28571,0
11/11/2020,0,0,0,65.74,321574,2706,309259,9609,763,7,1114,594.8571429,9.571428571,790.7142857,9038309,10052.85714,0
12/11/2020,0,0,0,65.74,322410,2718,310494,9198,836,12,1235,632.8571429,9.428571429,844.1428571,9038309,9832.142857,0
13/11/2020,0,0,0,65.74,323171,2723,311238,9210,761,5,744,642.8571429,7.857142857,821.8571429,9038309,9645.285714,0
14/11/2020,0,0,0,65.74,323463,2735,311666,9062,292,12,428,654.2857143,8.428571429,783.7142857,9038309,9507.428571,0
15/11/2020,0,0,0,65.74,324088,2744,312647,8697,625,9,981,667.2857143,8.714285714,825.5714286,9038309,9340.428571,0
16/11/2020,0,0,0,65.74,324961,2751,313317,8893,873,7,670,689.2857143,8.857142857,787.1428571,9038309,9233.714286,0
17/11/2020,0,0,0,65.74,325790,2763,313901,9126,829,12,584,711.2857143,9.142857143,822.2857143,9038309,9113.571429,0
18/11/2020,0,0,0,65.74,326585,2770,314709,9106,795,7,808,715.8571429,9.142857143,778.5714286,9038309,9041.714286,0
19/11/2020,0,0,0,65.74,327355,2778,315469,9108,770,8,760,706.4285714,8.571428571,710.7142857,9038309,9028.857143,0
20/11/2020,0,0,0,65.74,328129,2784,316149,9196,774,6,680,708.2857143,8.714285714,701.5714286,9038309,9026.857143,0
21/11/2020,0,0,0,65.74,328551,2796,316603,9152,422,12,454,726.8571429,8.714285714,705.2857143,9038309,9039.714286,0
22/11/2020,0,0,0,65.74,329316,2813,317631,8872,765,17,1028,746.8571429,9.857142857,712,9038309,9064.714286,0
23/11/2020,0,0,0,65.74,330275,2820,318292,9163,959,7,661,759.1428571,9.857142857,710.7142857,9038309,9103.285714,0
24/11/2020,0,0,0,65.74,331132,2826,318853,9453,857,6,561,763.1428571,9,707.4285714,9038309,9150,0
25/11/2020,0,0,0,65.74,332211,2831,319718,9662,1079,5,865,803.7142857,8.714285714,715.5714286,9038309,9229.428571,0
26/11/2020,0,0,0,65.74,333296,2840,320663,9793,1085,9,945,848.7142857,8.857142857,742,9038309,9327.285714,0
27/11/2020,0,0,0,65.74,334328,2846,321373,10109,1032,6,710,885.5714286,8.857142857,746.2857143,9038309,9457.714286,0
28/11/2020,0,0,0,65.74,334908,2856,321801,10251,580,10,428,908.1428571,8.571428571,742.5714286,9038309,9614.714286,0
29/11/2020,0,0,0,65.74,335933,2864,322929,10140,1025,8,1128,945.2857143,7.285714286,756.8571429,9038309,9795.857143,0
30/11/2020,0,0,0,65.74,337191,2872,323681,10638,1258,8,752,988,7.428571429,769.8571429,9038309,10006.57143,0
1/12/2020,0,0,0,65.74,338389,2882,324396,11111,1198,10,715,1036.714286,8,791.8571429,9038309,10243.42857,0
2/12/2020,0,0,0,65.74,339968,2886,325255,11827,1579,4,859,1108.142857,7.857142857,791,9038309,10552.71429,0
3/12/2020,0,0,0,65.74,341406,2895,326706,11805,1438,9,1451,1158.571429,7.857142857,863.2857143,9038309,10840.14286,0
4/12/2020,0,0,0,65.74,342101,2896,327162,12043,695,1,456,1110.428571,7.142857143,827,9038309,11116.42857,0
5/12/2020,0,0,0,65.74,343826,2909,327749,13168,1725,13,587,1274,7.571428571,849.7142857,9038309,11533.14286,0
6/12/2020,0,0,0,65.74,344906,2917,329368,12621,1080,8,1619,1281.857143,7.571428571,919.8571429,9038309,11887.57143,0
7/12/2020,0,0,0,65.74,346797,2924,330188,13685,1891,7,820,1372.285714,7.428571429,929.5714286,9038309,12322.85714,0
8/12/2020,0,0,0,65.74,348285,2932,331055,14298,1488,8,867,1413.714286,7.142857143,951.2857143,9038309,12778.14286,0
9/12/2020,0,0,2,65.74,350271,2934,332089,15248,1986,2,1034,1471.857143,6.857142857,976.2857143,9038309,13266.85714,0
10/12/2020,0,0,0,65.74,352397,2961,333391,16045,2126,27,1302,1570.142857,9.428571429,955,9038309,13872.57143,0
11/12/2020,0,0,0,65.74,353269,2969,333900,16400,872,8,509,1595.428571,10.42857143,962.5714286,9038309,14495,0
12/12/2020,0,0,0,65.74,355786,2983,335243,17560,2517,14,1343,1708.571429,10.57142857,1070.571429,9038309,15122.42857,0
13/12/2020,0,0,0,65.74,357176,2999,337186,16991,1390,16,1943,1752.857143,11.71428571,1116.857143,9038309,15746.71429,0
14/12/2020,0,0,0,65.74,359506,3004,338418,18084,2330,5,1232,1815.571429,11.42857143,1175.714286,9038309,16375.14286,0
15/12/2020,0,0,0,71.3,360630,3014,338784,18832,1124,10,366,1763.571429,11.71428571,1104.142857,9038309,17022.85714,0
16/12/2020,0,0,0,71.3,365042,3034,341217,20791,4412,20,2433,2110.142857,14.28571429,1304,9038309,17814.71429,0
17/12/2020,0,0,0,71.3,367975,3050,342985,21940,2933,16,1768,2225.428571,12.71428571,1370.571429,9038309,18656.85714,0
18/12/2020,0,0,0,71.3,370152,3057,344373,22722,2177,7,1388,2411.857143,12.57142857,1496.142857,9038309,19560,0
19/12/2020,0,0,0,71.3,372886,3074,345590,24222,2734,17,1217,2442.857143,13,1478.142857,9038309,20511.71429,0
20/12/2020,0,0,0,71.3,374760,3099,348107,23554,1874,25,2517,2512,14.28571429,1560.142857,9038309,21449.28571,0
21/12/2020,0,0,0,71.3,378259,3111,348874,26274,3499,12,767,2679,15.28571429,1493.714286,9038309,22619.28571,0
22/12/2020,0,0,0,74.07,382487,3136,351187,28164,4228,25,2313,3122.428571,17.42857143,1771.857143,9038309,23952.42857,0
23/12/2020,0,0,0,74.07,385022,3150,351876,29996,2535,14,689,2854.285714,16.57142857,1522.714286,9038309,25267.42857,0
24/12/2020,0,0,0,74.07,389678,3171,354674,31833,4656,21,2798,3100.428571,17.28571429,1669.857143,9038309,26680.71429,0
25/12/2020,0,0,0,74.07,394391,3186,357868,33337,4713,15,3194,3462.714286,18.42857143,1927.857143,9038309,28197.14286,0
26/12/2020,0,0,0,74.07,398664,3210,359984,35470,4273,24,2116,3682.571429,19.42857143,2056.285714,9038309,29804,0
27/12/2020,0,1,1,82.41,401470,3226,364013,34231,2806,16,4029,3815.714286,18.14285714,2272.285714,9038309,31329.28571,0
28/12/2020,0,0,0,82.41,407285,3256,366520,37509,5815,30,2507,4146.571429,20.71428571,2520.857143,9038309,32934.28571,0
29/12/2020,0,0,0,82.41,412398,3292,369118,39988,5113,36,2598,4273,22.28571429,2561.571429,9038309,34623.42857,0
30/12/2020,0,0,0,82.41,416584,3307,372285,40992,4186,15,3167,4508.857143,22.42857143,2915.571429,9038309,36194.28571,0
31/12/2020,0,0,0,82.41,423262,3325,376322,43615,6678,18,4037,4797.714286,22,3092.571429,9038309,37877.42857,0
1/1/2021,0,0,0,82.41,428510,3356,379910,45244,5248,31,3588,4874.142857,24.28571429,3148.857143,9038309,39578.42857,0
2/1/2021,0,0,0,82.41,434799,3392,381902,49505,6289,36,1992,5162.142857,26,3131.142857,9038309,41583.42857,0
3/1/2021,0,0,0,82.41,441542,3416,388484,49642,6743,24,6582,5724.571429,27.14285714,3495.857143,9038309,43785,0
