Date,daily_vaccinated_per_hundred_booster,NPIs (unvaccinated),NPIs (vaccinated),Stringency_index,Total_cases,Total_deaths,Total_recovered,Infected,Daily_cases,Daily_deaths,Daily_recovered,Daily_cases_average,Daily_deaths_average,Daily_recovered_average,Total_population,Infected_average,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
1/7/2021,0.04,0,0,29.63,842067,6429,833318,2320,290,0,27,41.42857143,0,3.857142857,9291000,331.4285714,56,0
2/7/2021,0.01,0,0,29.63,842371,6429,833340,2602,304,0,22,84.85714286,0,7,9291000,703.1428571,56.01,0
3/7/2021,0.01,0,0,29.63,842648,6429,833401,2818,277,0,61,124.4285714,0,15.71428571,9291000,1105.714286,56.02,0
4/7/2021,0.03,0,0,29.63,842969,6428,833439,3102,321,0,38,170.2857143,0,21.14285714,9291000,170.2857143,56.05,0
5/7/2021,0.03,0,0,29.63,843465,6429,833561,3475,496,1,122,241.1428571,0.142857143,38.57142857,9291000,2045.285714,56.08,0
6/7/2021,0.04,0,0,29.63,843892,6429,833650,3813,427,0,89,302.1428571,0.142857143,51.28571429,9291000,2590,56.12,0
7/7/2021,0.03,0,0,29.63,844378,6429,833796,4153,486,0,146,371.5714286,0.142857143,72.14285714,9291000,3183.285714,56.15,0
8/7/2021,0.03,0,0,29.63,844989,6432,834012,4545,611,3,216,417.4285714,0.571428571,99.14285714,9291000,3501.142857,56.18,0
9/7/2021,0.02,0,0,29.63,845379,6434,834204,4741,390,2,192,429.7142857,0.857142857,123.4285714,9291000,3806.714286,56.2,0
10/7/2021,0,0,0,29.63,845811,6435,834388,4988,432,1,184,451.8571429,1,141,9291000,4116.714286,56.2,0
11/7/2021,0.03,0,0,29.63,846134,6438,834450,5246,323,3,62,452.1428571,1.428571429,144.4285714,9291000,4423,56.23,0
12/7/2021,0.04,0,0,29.63,846327,6438,834758,5131,193,0,308,408.8571429,1.285714286,171,9291000,4659.571429,56.27,0
13/7/2021,0.06,0,0,29.63,847602,6440,835046,6116,1275,2,288,530,1.571428571,199.4285714,9291000,4988.571429,56.33,0
14/7/2021,0.09,0,0,29.63,848322,6441,835336,6545,720,1,290,563.4285714,1.714285714,220,9291000,5330.285714,56.41,0.01
15/7/2021,0.1,0,0,29.63,849274,6443,835624,7207,952,2,288,612.1428571,1.571428571,230.2857143,9291000,5710.571429,56.51,0.01
16/7/2021,0.06,0,0,29.63,850104,6444,835927,7733,830,1,303,675,1.428571429,246.1428571,9291000,6138,56.57,0.01
17/7/2021,0.02,0,0,29.63,850968,6446,836202,8320,864,2,275,736.7142857,1.571428571,259.1428571,9291000,6614,56.59,0.01
18/7/2021,0.11,0,0,29.63,851723,6449,836520,8754,755,3,318,798.4285714,1.571428571,295.7142857,9291000,7115.142857,56.69,0.02
19/7/2021,0.12,0,0,29.63,852943,6450,837015,9478,1220,1,495,945.1428571,1.714285714,322.4285714,9291000,7736.142857,56.81,0.02
20/7/2021,0.14,1,0,35.19,854434,6452,837440,10542,1491,2,425,976,1.714285714,342,9291000,8368.428571,56.94,0.03
21/7/2021,0.13,0,0,35.19,855552,6454,837924,11174,1118,2,484,1032.857143,1.857142857,369.7142857,9291000,9029.714286,57.07,0.03
22/7/2021,0.14,0,0,35.19,856986,6457,838532,11997,1434,3,608,1101.714286,2,415.4285714,9291000,9714,57.21,0.03
23/7/2021,0.09,0,0,35.19,857977,6457,838922,12598,991,0,390,1124.714286,1.857142857,427.8571429,9291000,10409,57.3,0.03
24/7/2021,0.02,0,0,35.19,859398,6458,839353,13587,1421,1,431,1204.285714,1.714285714,450.1428571,9291000,11161.42857,57.32,0.03
25/7/2021,0.17,0,0,35.19,860652,6460,839674,14518,1254,2,321,1275.571429,1.571428571,450.5714286,9291000,11984.85714,57.48,0.04
26/7/2021,0.15,0,0,35.19,862717,6461,839866,16390,2065,1,192,1396.285714,1.571428571,407.2857143,9291000,12972.28571,57.63,0.04
27/7/2021,0.15,0,0,35.19,864912,6461,841141,17310,2195,0,1275,1496.857143,1.285714286,528.7142857,9291000,13939.14286,57.78,0.04
28/7/2021,0.14,0,0,35.19,867240,6462,841860,18918,2328,1,719,1669.714286,1.142857143,562.2857143,9291000,15045.42857,57.91,0.05
29/7/2021,0.16,0,0,35.19,869063,6466,842808,19789,1823,4,948,1725.285714,1.285714286,610.8571429,9291000,16158.57143,58.06,0.06
30/7/2021,0.16,0,0,35.19,871343,6469,843635,21239,2280,3,827,1909.428571,1.714285714,673.2857143,9291000,17393,58.18,0.1
31/7/2021,0.11,0,0,35.19,874018,6473,844495,23050,2675,4,860,2088.571429,2.142857143,734.5714286,9291000,18744.85714,58.22,0.17
