Date,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinated_per_hundred,daily_boosters_per_hundred,effectiveness
9/1/2021,0,0,0,0,0
10/1/2021,0.07,0,0.07,0,0
11/1/2021,0.27,0,0.2,0,0.775
12/1/2021,0.66,0,0.39,0,0.775
13/1/2021,1.27,0,0.61,0,0.775
14/1/2021,2.01,0,0.74,0,0.775
15/1/2021,2.4,0,0.39,0,0.775
16/1/2021,2.68,0,0.28,0,0.775
17/1/2021,3.59,0,0.91,0,0.775
18/1/2021,4.88,0,1.29,0,0.775
19/1/2021,6.37,0,1.49,0,0.775
20/1/2021,7.91,0,1.54,0,0.775
21/1/2021,9.68,0,1.77,0,0.775
22/1/2021,10.45,0,0.77,0,0.775
23/1/2021,11.03,0,0.58,0,0.775
24/1/2021,12.54,0,1.51,0,0.775
25/1/2021,14.04,0,1.5,0,0.775
26/1/2021,15.4,0,1.36,0,0.775
27/1/2021,16.75,0,1.35,0,0.775
28/1/2021,18.15,0,1.4,0,0.775
29/1/2021,18.85,0,0.7,0,0.775
30/1/2021,19.31,0,0.46,0,0.775
31/1/2021,19.95,0,0.64,0,0.775
1/2/2021,20.33,0,0.38,0,0.775
2/2/2021,20.67,0,0.34,0,0.775
3/2/2021,21.22,0,0.55,0,0.775
4/2/2021,21.85,0,0.63,0,0.775
5/2/2021,22.16,0,0.31,0,0.775
6/2/2021,22.39,0,0.23,0,0.775
7/2/2021,23.13,0,0.74,0,0.775
8/2/2021,23.84,0,0.71,0,0.775
9/2/2021,24.57,0,0.73,0,0.775
10/2/2021,25.34,0,0.77,0,0.774877493
11/2/2021,26.12,0,0.78,0,0.774541831
12/2/2021,26.52,0,0.4,0,0.773913476
13/2/2021,26.85,0,0.33,0,0.772940799
14/2/2021,27.6,0,0.75,0,0.771781006
15/2/2021,28.41,0,0.81,0,0.77126087
16/2/2021,29.25,0,0.84,0,0.770943682
17/2/2021,30.07,0,0.82,0,0.769722393
18/2/2021,30.93,0,0.86,0,0.768021616
19/2/2021,31.34,0,0.41,0,0.766144197
20/2/2021,31.65,0,0.31,0,0.764147096
21/2/2021,32.49,0,0.84,0,0.761848657
22/2/2021,33.36,0,0.87,0,0.761169591
23/2/2021,34.12,0,0.76,0,0.760782674
24/2/2021,34.79,0,0.67,0,0.759196366
25/2/2021,35.49,0,0.7,0,0.757646738
26/2/2021,35.84,0,0.35,0,0.756341223
27/2/2021,36.07,0,0.23,0,0.754903739
28/2/2021,36.67,0,0.6,0,0.753362905
1/3/2021,37.33,0,0.66,0,0.7528961
2/3/2021,38.03,0,0.7,0,0.752757032
3/3/2021,38.74,0,0.71,0,0.752442808
4/3/2021,39.6,0,0.86,0,0.752434435
5/3/2021,40.03,0,0.43,0,0.752555303
6/3/2021,40.3,0,0.27,0,0.752205596
7/3/2021,41.09,0,0.79,0,0.751686104
8/3/2021,41.88,0,0.79,0,0.751809929
9/3/2021,42.7,0,0.82,0,0.752011223
10/3/2021,43.33,0,0.63,0,0.751707494
11/3/2021,44.08,0,0.75,0,0.751341565
12/3/2021,44.52,0,0.44,0,0.750974819
13/3/2021,44.79,0,0.27,0,0.750306828
14/3/2021,45.59,0,0.8,0,0.749393391
15/3/2021,46.43,0,0.84,0,0.748983768
16/3/2021,47.2,0,0.77,0,0.748575059
17/3/2021,47.84,0,0.64,0,0.748025424
18/3/2021,48.46,0,0.62,0,0.747447533
19/3/2021,48.76,0,0.3,0,0.746378663
20/3/2021,48.93,0,0.17,0,0.744879204
21/3/2021,49.36,0,0.43,0,0.743131821
22/3/2021,49.8,0,0.44,0,0.741929092
23/3/2021,49.88,0,0.08,0,0.740674096
24/3/2021,50.38,0,0.5,0,0.739449278
25/3/2021,50.76,0,0.38,0,0.738645097
26/3/2021,50.9,0,0.14,0,0.737202522
27/3/2021,50.95,0,0.05,0,0.735679568
28/3/2021,51,0,0.05,0,0.734166438
29/3/2021,51.32,0,0.32,0,0.732958431
30/3/2021,51.56,0,0.24,0,0.732045791
31/3/2021,51.77,0,0.21,0,0.731256594
1/4/2021,51.97,0,0.2,0,0.730565965
2/4/2021,52.06,0,0.09,0,0.729714451
3/4/2021,52.09,0,0.03,0,0.728943527
4/4/2021,52.34,0,0.25,0,0.728025149
5/4/2021,52.57,0,0.23,0,0.727517959
6/4/2021,52.75,0,0.18,0,0.727073426
7/4/2021,52.91,0,0.16,0,0.726381422
8/4/2021,53.1,0,0.19,0,0.725729919
9/4/2021,53.16,0,0.06,0,0.72474049
10/4/2021,53.2,0,0.04,0,0.72380681
11/4/2021,53.36,0,0.16,0,0.722509586
12/4/2021,53.5,0,0.14,0,0.721122001
13/4/2021,53.55,0,0.05,0,0.719216262
14/4/2021,53.61,0,0.06,0,0.716318021
15/4/2021,53.61,0,0,0,0.713017534
16/4/2021,53.69,0,0.08,0,0.710594106
