Date,Infected
30/7/2021,21239
31/7/2021,23050
1/8/2021,24078
2/8/2021,26707
3/8/2021,28364
4/8/2021,30214
5/8/2021,33215
6/8/2021,35128
7/8/2021,37928
8/8/2021,39830
9/8/2021,43688
10/8/2021,45657
11/8/2021,50997
12/8/2021,55699
13/8/2021,57931
14/8/2021,60878
15/8/2021,63559
16/8/2021,68408
17/8/2021,73512
18/8/2021,76427
19/8/2021,80405
20/8/2021,85107
21/8/2021,88163
22/8/2021,90042
23/8/2021,92705
24/8/2021,100654
25/8/2021,99588
26/8/2021,103509
27/8/2021,105349
28/8/2021,110904
29/8/2021,112249
30/8/2021,113430
31/8/2021,110042
1/9/2021,120788
2/9/2021,126275
3/9/2021,126759
4/9/2021,127475
5/9/2021,127072
6/9/2021,118486
7/9/2021,106373
8/9/2021,122062
9/9/2021,117661
10/9/2021,119663
11/9/2021,119882
12/9/2021,120644
13/9/2021,122565
14/9/2021,128431
15/9/2021,119231
16/9/2021,111522
17/9/2021,106472
18/9/2021,107433
19/9/2021,110533
20/9/2021,117468
21/9/2021,124666
22/9/2021,107746
23/9/2021,108419
24/9/2021,102314
25/9/2021,97263
26/9/2021,93953
27/9/2021,86177
28/9/2021,79612
29/9/2021,75058
30/9/2021,73815
1/10/2021,74127
2/10/2021,67580
3/10/2021,62000
4/10/2021,58434
5/10/2021,54081
6/10/2021,50956
7/10/2021,46617
8/10/2021,46177
9/10/2021,41411
10/10/2021,39505
11/10/2021,37640
12/10/2021,35343
13/10/2021,34025
14/10/2021,30690
15/10/2021,28643
16/10/2021,27340
17/10/2021,26188
18/10/2021,24260
19/10/2021,22658
20/10/2021,21313
21/10/2021,19994
22/10/2021,19117
23/10/2021,18039
24/10/2021,17368
25/10/2021,16170
26/10/2021,15159
27/10/2021,14201
28/10/2021,13263
29/10/2021,12529
