Date,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinated_per_hundred,daily_boosters_per_hundred
9/1/2021,0,0,0,0
10/1/2021,0.07,0,0.07,0
11/1/2021,0.27,0,0.2,0
12/1/2021,0.66,0,0.39,0
13/1/2021,1.27,0,0.61,0
14/1/2021,2.01,0,0.74,0
15/1/2021,2.4,0,0.39,0
16/1/2021,2.68,0,0.28,0
17/1/2021,3.59,0,0.91,0
18/1/2021,4.88,0,1.29,0
19/1/2021,6.37,0,1.49,0
20/1/2021,7.91,0,1.54,0
21/1/2021,9.68,0,1.77,0
22/1/2021,10.45,0,0.77,0
23/1/2021,11.03,0,0.58,0
24/1/2021,12.54,0,1.51,0
25/1/2021,14.04,0,1.5,0
26/1/2021,15.4,0,1.36,0
27/1/2021,16.75,0,1.35,0
28/1/2021,18.15,0,1.4,0
29/1/2021,18.85,0,0.7,0
30/1/2021,19.31,0,0.46,0
31/1/2021,19.95,0,0.64,0
1/2/2021,20.33,0,0.38,0
2/2/2021,20.67,0,0.34,0
3/2/2021,21.22,0,0.55,0
4/2/2021,21.85,0,0.63,0
5/2/2021,22.16,0,0.31,0
6/2/2021,22.39,0,0.23,0
7/2/2021,23.13,0,0.74,0
8/2/2021,23.84,0,0.71,0
9/2/2021,24.57,0,0.73,0
10/2/2021,25.34,0,0.77,0
11/2/2021,26.12,0,0.78,0
12/2/2021,26.52,0,0.4,0
13/2/2021,26.85,0,0.33,0
14/2/2021,27.6,0,0.75,0
15/2/2021,28.41,0,0.81,0
16/2/2021,29.25,0,0.84,0
17/2/2021,30.07,0,0.82,0
18/2/2021,30.93,0,0.86,0
19/2/2021,31.34,0,0.41,0
20/2/2021,31.65,0,0.31,0
21/2/2021,32.49,0,0.84,0
22/2/2021,33.36,0,0.87,0
23/2/2021,34.12,0,0.76,0
24/2/2021,34.79,0,0.67,0
25/2/2021,35.49,0,0.7,0
26/2/2021,35.84,0,0.35,0
27/2/2021,36.07,0,0.23,0
28/2/2021,36.67,0,0.6,0
1/3/2021,37.33,0,0.66,0
2/3/2021,38.03,0,0.7,0
3/3/2021,38.74,0,0.71,0
4/3/2021,39.6,0,0.86,0
5/3/2021,40.03,0,0.43,0
6/3/2021,40.3,0,0.27,0
7/3/2021,41.09,0,0.79,0
8/3/2021,41.88,0,0.79,0
9/3/2021,42.7,0,0.82,0
10/3/2021,43.33,0,0.63,0
11/3/2021,44.08,0,0.75,0
12/3/2021,44.52,0,0.44,0
13/3/2021,44.79,0,0.27,0
14/3/2021,45.59,0,0.8,0
15/3/2021,46.43,0,0.84,0
16/3/2021,47.2,0,0.77,0
17/3/2021,47.84,0,0.64,0
18/3/2021,48.46,0,0.62,0
19/3/2021,48.76,0,0.3,0
20/3/2021,48.93,0,0.17,0
21/3/2021,49.36,0,0.43,0
22/3/2021,49.8,0,0.44,0
23/3/2021,49.88,0,0.08,0
24/3/2021,50.38,0,0.5,0
25/3/2021,50.76,0,0.38,0
26/3/2021,50.9,0,0.14,0
27/3/2021,50.95,0,0.05,0
28/3/2021,51,0,0.05,0
29/3/2021,51.32,0,0.32,0
30/3/2021,51.56,0,0.24,0
31/3/2021,51.77,0,0.21,0
1/4/2021,51.97,0,0.2,0
2/4/2021,52.06,0,0.09,0
3/4/2021,52.09,0,0.03,0
4/4/2021,52.34,0,0.25,0
5/4/2021,52.57,0,0.23,0
6/4/2021,52.75,0,0.18,0
7/4/2021,52.91,0,0.16,0
8/4/2021,53.1,0,0.19,0
9/4/2021,53.16,0,0.06,0
10/4/2021,53.2,0,0.04,0
11/4/2021,53.36,0,0.16,0
12/4/2021,53.5,0,0.14,0
13/4/2021,53.55,0,0.05,0
14/4/2021,53.61,0,0.06,0
15/4/2021,53.61,0,0,0
16/4/2021,53.69,0,0.08,0
17/4/2021,53.71,0,0.02,0
18/4/2021,53.79,0,0.08,0
19/4/2021,53.86,0,0.07,0
20/4/2021,53.94,0,0.08,0
21/4/2021,54.01,0,0.07,0
22/4/2021,54.1,0,0.09,0
23/4/2021,54.13,0,0.03,0
24/4/2021,54.15,0,0.02,0
25/4/2021,54.22,0,0.07,0
26/4/2021,54.31,0,0.09,0
27/4/2021,54.38,0,0.07,0
28/4/2021,54.46,0,0.08,0
29/4/2021,54.53,0,0.07,0
30/4/2021,54.57,0,0.04,0
1/5/2021,54.58,0,0.01,0
2/5/2021,54.64,0,0.06,0
3/5/2021,54.71,0,0.07,0
4/5/2021,54.76,0,0.05,0
5/5/2021,54.8,0,0.04,0
6/5/2021,54.84,0,0.04,0
7/5/2021,54.86,0,0.02,0
8/5/2021,54.87,0,0.01,0
9/5/2021,54.92,0,0.05,0
10/5/2021,54.97,0,0.05,0
11/5/2021,55.01,0,0.04,0
12/5/2021,55.05,0,0.04,0
13/5/2021,55.09,0,0.04,0
14/5/2021,55.1,0,0.01,0
15/5/2021,55.11,0,0.01,0
16/5/2021,55.12,0,0.01,0
17/5/2021,55.13,0,0.01,0
18/5/2021,55.18,0,0.05,0
19/5/2021,55.23,0,0.05,0
20/5/2021,55.28,0,0.05,0
21/5/2021,55.29,0,0.01,0
22/5/2021,55.3,0,0.01,0
23/5/2021,55.33,0,0.03,0
24/5/2021,55.37,0,0.04,0
25/5/2021,55.4,0,0.03,0
26/5/2021,55.42,0,0.02,0
27/5/2021,55.46,0,0.04,0
28/5/2021,55.47,0,0.01,0
29/5/2021,55.48,0,0.01,0
30/5/2021,55.5,0,0.02,0
31/5/2021,55.52,0,0.02,0
1/6/2021,55.54,0,0.02,0
