Date,daily_vaccinated_per_hundred,NPIs (unvaccinated),NPIs (vaccinated),Stringency_index,New_total_cases,New_total_deaths,New_total_recovered,Infected,Daily_cases,Daily_deaths,Daily_recovered,Daily_cases_average,Daily_deaths_average,Daily_recovered_average,Total_population,Infected_average,people_fully_vaccinated_per_hundred,effectiveness_vaccine,people_protection_per_hundred,daily_protection_per_hundred
30/7/2021,0.12,0,0,35.19,29276,40,7997,21239,2280,3,827,1909.428571,1.714285714,673.2857143,9291000,21239,58.18,0.237635377,13.82562625,-0.006161594
31/7/2021,0.04,0,0,35.19,31951,44,8857,23050,2675,4,860,2088.571429,2.142857143,734.5714286,9291000,23050,58.22,0.237366277,13.81946465,-0.050623402
1/8/2021,0.03,0,0,35.19,33734,48,9608,24078,1783,4,751,2164.142857,2.428571429,796,9291000,24078,58.25,0.236374957,13.76884125,0.105279507
2/8/2021,0.04,0,0,35.19,37583,58,10818,26707,3849,10,1210,2419,3.714285714,941.4285714,9291000,26707,58.29,0.238018884,13.87412076,0.264852379
3/8/2021,0.03,0,0,35.19,40731,66,12301,28364,3148,8,1483,2555.142857,4.857142857,971.1428571,9291000,28364,58.32,0.242437811,14.13897313,0.444202188
4/8/2021,0.04,1,1,35.19,43699,74,13411,30214,2968,8,1110,2646.571429,5.857142857,1027,9291000,30214,58.36,0.249883059,14.58317532,0.43910391
5/8/2021,0.04,0,0,35.19,48134,80,14839,33215,4435,6,1428,3019.714286,6.142857143,1095.571429,9291000,33215,58.4,0.257230809,15.02227923,0.585804172
6/8/2021,0.02,0,0,35.19,51038,87,15823,35128,2904,7,984,3108.857143,6.714285714,1118,9291000,35128,58.42,0.267170205,15.6080834,0.228696596
7/8/2021,0,0,0,35.19,55259,106,17225,37928,4221,19,1402,3329.714286,8.857142857,1195.428571,9291000,37928,58.42,0.271084902,15.83678,0.033699035
8/8/2021,0.04,0,0,50.68,58415,113,18472,39830,3156,7,1247,3525.857143,9.285714286,1266.285714,9291000,39830,58.46,0.271475864,15.87047903,0.491963396
9/8/2021,0.03,0,0,50.68,64338,130,20520,43688,5923,17,2048,3822.142857,10.28571429,1386,9291000,43688,58.49,0.279747691,16.36244243,0.441722144
10/8/2021,0.03,0,0,50.68,68502,142,22703,45657,4164,12,2183,3967.285714,10.85714286,1486,9291000,45657,58.52,0.287152505,16.80416458,0.472816642
11/8/2021,0.04,0,0,50.68,76170,158,25015,50997,7668,16,2312,4638.714286,12,1657.714286,9291000,50997,58.56,0.295030417,17.27698122,0.379439449
12/8/2021,0.03,0,0,50.67,82695,175,26821,55699,6525,17,1806,4937.285714,13.57142857,1711.714286,9291000,55699,58.59,0.301355533,17.65642067,0.369120346
13/8/2021,0.02,0,0,50.67,87207,182,29094,57931,4512,7,2273,5167,13.57142857,1895.857143,9291000,57931,58.61,0.307550606,18.02554101,0.247256149
14/8/2021,0.01,0,0,50.67,92829,193,31758,60878,5622,11,2664,5367.142857,12.42857143,2076.142857,9291000,60878,58.62,0.311716089,18.27279716,0.147591142
15/8/2021,0.05,0,0,50.67,97293,239,33495,63559,4464,46,1737,5554,18,2146.142857,9291000,63559,58.67,0.313966053,18.4203883,0.64205334
16/8/2021,0.05,0,0,50.66,105991,258,37325,68408,8698,19,3830,5950.428571,18.28571429,2400.714286,9291000,68408,58.72,0.324632862,19.06244164,0.591229948
17/8/2021,0.06,0,0,50.66,114243,275,40456,73512,8252,17,3131,6534.428571,19,2536.142857,9291000,73512,58.78,0.334359843,19.65367159,0.5606587
18/8/2021,0.05,1,1,54.36,120126,294,43405,76427,5883,19,2949,6279.428571,19.42857143,2627.142857,9291000,76427,58.83,0.343605818,20.21433029,0.437336791
19/8/2021,0.05,0,0,54.36,128539,323,47811,80405,8413,29,4406,6549.142857,21.14285714,2998.571429,9291000,80405,58.88,0.350741628,20.65166708,0.418252805
20/8/2021,0.03,0,0,54.35,136145,330,50708,85107,7606,7,2897,6991.142857,21.14285714,3087.714286,9291000,85107,58.91,0.357662874,21.06991989,0.39022338
21/8/2021,0.02,0,0,54.35,143422,346,54913,88163,7277,16,4205,7227.571429,21.85714286,3307.857143,9291000,88163,58.93,0.3641633,21.46014327,0.2108382
22/8/2021,0.05,0,0,54.35,148457,401,58014,90042,5035,55,3101,7309.142857,23.14285714,3502.714286,9291000,90042,58.98,0.367429323,21.67098147,0.702999899
23/8/2021,0.05,0,0,54.34,157043,427,63911,92705,8586,26,5897,7293.142857,24.14285714,3798,9291000,92705,59.03,0.379027297,22.37398136,0.604305391
24/8/2021,0.05,0,0,54.34,169156,451,68051,100654,12113,24,4140,7844.714286,25.14285714,3942.142857,9291000,100654,59.08,0.388935118,22.97828676,0.635530957
25/8/2021,0.05,0,0,54.33,175758,479,75691,99588,6602,28,7640,7947.428571,26.42857143,4612.285714,9291000,99588,59.13,0.399354265,23.61381771,0.642946342
26/8/2021,0.05,0,0,54.33,186204,508,82187,103509,10446,29,6496,8237.857143,26.42857143,4910.857143,9291000,103509,59.18,0.409881109,24.25676406,0.720811362
